Vocab,Pinyin,Meaning
毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis
毕业,bì yè,graduation; to graduate; to finish school
闭,bì,to close; to stop up; to shut; to obstruct
避免,bì miǎn,to avert; to prevent; to avoid; to refrain from
边,biān,side; edge; margin; border; boundary; simultaneously
编,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up
编辑,biān jí,to edit; to compile; editor; compiler
变,biàn,to change; to become different; to transform; to vary; rebellion
变成,biàn chéng,to change into; to turn into; to become
变化,biàn huà,(intransitive) to change; to vary; change; variation
便,biàn,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就: then; in that case; even if; soon afterwards
便宜,biàn yí,convenient
遍,biàn,variant of 遍
标,biāo,"mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units"
标志,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark
标准,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard
表,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth)
表达,biǎo dá,to express; to convey
表面,biǎo miàn,surface; face; outside; appearance
表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known
表情,biǎo qíng,(facial) expression; to express one's feelings
表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean
表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior
表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate
别,Bié,surname Bie
别的,bié de,else; other
别人,bié ren,other people; others; other person
冰,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine
兵,bīng,soldiers; a force; an army; weapons; arms; military; warlike
饼,bǐng,round flat cake; cookie; cake; pastry
并,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge
并非,bìng fēi,really isn't
并且,bìng qiě,and; besides; moreover; furthermore; in addition
病,bìng,illness; disease; to fall ill; defect
病毒,bìng dú,virus
病人,bìng rén,sick person; patient; invalid
拨,bō,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch"
玻璃,bō li,glass; (slang) male homosexual
播,bō,to sow; to scatter; to spread; to broadcast; Taiwan pr. [bò]
播放,bō fàng,to broadcast; to transmit (by radio or TV)
脖子,bó zi,neck
博士,bó shì,doctor; court academician (in feudal China); Ph.D.
补,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement
补偿,bǔ cháng,to compensate; to make up
不,bù,no; not so; (bound form) not; un-
不必,bù bì,need not; does not have to; not necessarily
不错,bù cuò,correct; right; not bad; pretty good
不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid
不断,bù duàn,unceasing; uninterrupted; continuous; constant
不对,bù duì,incorrect; wrong; amiss; abnormal; queer
不够,bù gòu,not enough; insufficient; inadequate
不管,bù guǎn,not to be concerned; regardless of; no matter
不过,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)
不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)
不见,bù jiàn,not to see; not to meet; to have disappeared; to be missing
不仅,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)"
不久,bù jiǔ,not long (after); before too long; soon; soon after
不论,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss"
不然,bù rán,not so; no; or else; otherwise; if not; How about ...?
不如,bù rú,not equal to; not as good as; inferior to; it would be better to
不少,bù shǎo,many; a lot; not few
不同,bù tóng,different; distinct; not the same; not alike
不行,bù xíng,won't do; be out of the question; be no good; not work; not be capable
不幸,bù xìng,misfortune; adversity; unfortunate; sad; unfortunately
不许,bù xǔ,not to allow; must not; can't
不要,bù yào,don't!; must not
不一定,bù yī dìng,not necessarily; maybe
不用,bù yòng,need not
不再,bù zài,no more; no longer
不知,bù zhī,"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)"
不止,bù zhǐ,incessantly; without end; more than; not limited to
不准,bù zhǔn,not to allow; to forbid; to prohibit
不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not
布,bù,variant of 布; to announce; to spread
步,Bù,surname Bu
部,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc"
部队,bù duì,army; armed forces; troops; force; unit
部分,bù fen,part; share; section; piece
部门,bù mén,department; branch; section; division
部长,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister
擦,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)"
猜,cāi,to guess
才,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only
才能,cái néng,talent; ability; capacity
材料,cái liào,(raw) material; data; (fig.) person who has the potential to do the job
财产,cái chǎn,property; assets; estate
财富,cái fù,wealth; riches
财务,cái wù,financial affairs
采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take"
采用,cǎi yòng,to adopt; to employ; to use
踩,cǎi,variant of 踩
菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor
参观,cān guān,to look around; to tour; to visit
参加,cān jiā,to participate; to take part; to join
参赛,cān sài,to compete; to take part in a competition
参与,cān yù,to participate (in sth)
餐,cān,meal; to eat; classifier for meals
餐厅,cān tīng,dining hall; dining room; restaurant
惨,cǎn,miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy
藏,Zàng,Tibet; abbr. for Xizang or Tibet Autonomous Region 藏
操作,cāo zuò,to work; to operate; to manipulate
草,cǎo,variant of 草
侧,cè,the side; to incline towards; to lean; inclined; lateral; side
厕所,cè suǒ,toilet; lavatory
测,cè,to survey; to measure; to conjecture
测试,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software)
策略,cè lu:è,strategy; tactics; crafty; adroit
策划,cè huà,to plot; to scheme; to bring about; to engineer; planning; producer; planner
层,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers
曾,Zēng,surname Zeng
曾经,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause)
插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose
查,Zhā,surname Zha
查看,chá kàn,to look over; to examine; to check up; to ferret out
茶,chá,tea; tea plant
差,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly
差不多,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad
拆,chāi,to tear open; to tear down; to tear apart; to open
产,chǎn,to give birth; to reproduce; to produce; product; resource; estate; property
产品,chǎn pǐn,goods; merchandise; product
产生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate
尝,cháng,to taste; to try (food); to experience; (literary) ever; once
尝试,cháng shì,to try; to attempt
常,Cháng,surname Chang
常常,cháng cháng,frequently; often
厂,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc"
场,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout"
唱,chàng,to sing; to call loudly; to chant
唱歌,chàng gē,to sing a song
超,chāo,to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-
超过,chāo guò,to surpass; to exceed; to outstrip
超级,chāo jí,super-; ultra-; hyper-
朝,Cháo,abbr. for 朝鲜 Korea
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise
炒,chǎo,to sauté; to stir-fry; to speculate; to hype; to fire (sb)
车,Chē,surname Che
车辆,chē liàng,vehicle
车上,chē shàng,Car
扯,chě,"to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; (coll.) (Tw) ridiculous; hokey"
彻底,chè dǐ,thorough; thoroughly; complete
沉默,chén mò,taciturn; uncommunicative; silent
称,chèn,to fit; balanced; suitable
称为,chēng wéi,"to be called; to be known as; to call it ""..."""
撑,chēng,to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support
成,Chéng,surname Cheng
成功,Chéng gōng,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan"
成果,chéng guǒ,result; achievement; gain; profit
成绩,chéng jì,achievement; performance records; grades
成交,chéng jiāo,to complete a contract; to reach a deal
成就,chéng jiù,accomplishment; success; achievement; to achieve (a result); to create; to bring about
成立,chéng lì,to establish; to set up; to be tenable; to hold water
成熟,chéng shú,mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu]
成为,chéng wéi,to become; to turn into
成员,chéng yuán,member
成长,chéng zhǎng,to mature; to grow; growth
呈现,chéng xiàn,to appear; to emerge; to present (a certain appearance); to demonstrate
承担,chéng dān,to undertake; to assume (responsibility etc)
承诺,chéng nuò,to promise; to undertake to do something; commitment
承认,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge"
承受,chéng shòu,to bear; to support; to inherit
城,chéng,city walls; city; town
城市,chéng shì,city; town
乘,Chéng,surname Cheng
乘客,chéng kè,passenger
程度,chéng dù,degree; level; extent
程序,chéng xù,procedures; sequence; order; computer program
吃,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)"
吃饭,chī fàn,to have a meal; to eat; to make a living
迟到,chí dào,to arrive late
持,chí,to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control
持续,chí xù,to continue; to persist; to last; sustainable; preservation
充分,chōng fèn,ample; sufficient; adequate; full; fully; to the full
充满,chōng mǎn,full of; brimming with; very full; permeated
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with
冲动,chōng dòng,to have an urge; to be impetuous; impulse; urge
冲突,chōng tū,conflict; to conflict; clash of opposing forces; collision (of interests); contention
抽,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud; to whip or thrash
丑,Chǒu,surname Chou
臭,chòu,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition)
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc"
出版,chū bǎn,to publish
出发,chū fā,to set off; to start (on a journey)
出口,chū kǒu,an exit; to speak; to export; (of a ship) to leave port
出来,chū lái,to come out; to appear; to arise
出门,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married
出去,chū qù,to go out
出色,chū sè,remarkable; outstanding
出生,chū shēng,to be born
出售,chū shòu,to sell; to offer for sale; to put on the market
出席,chū xí,to attend; to participate; present
出现,chū xiàn,to appear; to arise; to emerge; to show up
出于,chū yú,due to; to stem from
出租车,chū zū chē,taxi; (Tw) rental car
初,chū,at first; (at the) beginning; first; junior; basic
除,chú,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including
除非,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless"
除了,chú le,besides; apart from (... also...); in addition to; except (for)
厨房,chú fáng,kitchen
处,chǔ,to reside; to live; to dwell; to be in; to be situated at; to stay; to get along with; to be in a position of; to deal with; to discipline; to punish
处理,chǔ lǐ,to handle; to deal with; to punish; to treat sth by a special process; to process; to sell at reduced prices
处于,chǔ yú,"to be in (some state, position, or condition)"
穿,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread
穿着,chuān zhuó,attire; clothes; dress
传,chuán,to pass on; to spread; to transmit; to infect; to transfer; to circulate; to conduct (electricity)
传播,chuán bō,to disseminate; to propagate; to spread
传奇,chuán qí,legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty
传说,chuán shuō,legend; folk tale; to repeat from mouth to mouth; they say that...
传统,chuán tǒng,tradition; traditional; convention; conventional
船,chuán,variant of 船
床,chuáng,bed; couch; classifier for beds
创,chuàng,variant of 创
创意,chuàng yì,creative; creativity
创造,chuàng zào,to create; to bring about; to produce; to set (a record)
创作,chuàng zuò,to create; to produce; to write; creative work; creation
吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through
纯,chún,pure; simple; unmixed; genuine
词,cí,old variant of 词
慈善,cí shàn,benevolent; charitable
辞职,cí zhí,to resign
此,cǐ,this; these
此时,cǐ shí,now; this moment
此外,cǐ wài,besides; in addition; moreover; furthermore
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time"
刺,cī,(onom.) whoosh
刺激,cì jī,to provoke; to irritate; to upset; to stimulate; to excite; irritant
聪明,cōng ming,intelligent; clever; bright; smart; acute (of sight and hearing)
从,cóng,variant of 从
从此,cóng cǐ,from now on; since then; henceforth
从来,cóng lái,always; at all times; never (if used in negative sentence)
从事,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do
从未,cóng wèi,never
村,cūn,village
存,cún,to exist; to deposit; to store; to keep; to survive
存在,cún zài,to exist; to be; existence
措施,cuò shī,measure; step
错,Cuò,surname Cuo
错过,cuò guò,"to miss (train, opportunity etc)"
错误,cuò wù,mistaken; false; wrong; error; mistake
搭,dā,"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train); variant of 褡"
达成,dá chéng,to reach (an agreement); to accomplish
达到,dá dào,to reach; to achieve; to attain
答,dā,"bound form having the same meaning as the free word 答, used in 答应, 理 etc"
答案,dá àn,answer; solution
答应,dā ying,to answer; to respond; to answer positively; to agree; to accept; to promise
打,dá,dozen (loanword)
打电话,dǎ diàn huà,to make a telephone call
打击,dǎ jī,to hit; to strike; to attack; to crack down on sth; blow; (psychological) shock; percussion (music)
打开,dǎ kāi,to open; to show (a ticket); to turn on; to switch on
打破,dǎ pò,to break; to smash
打算,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation
大,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
大部分,dà bù fen,in large part; the greater part; the majority
大大,dà dà,greatly; enormously; (dialect) dad; uncle
大道,dà dào,main street; avenue
大多数,dà duō shù,(great) majority
大概,dà gài,roughly; probably; rough; approximate; about; general idea
大哥,dà gē,eldest brother; big brother (polite address for a man of about the same age as oneself); gang leader; boss
大会,dà huì,general assembly; general meeting; convention
大家,dà jiā,everyone; influential family; great expert
大街,dà jiē,street; main street
大量,dà liàng,great amount; large quantity; bulk; numerous; generous; magnanimous
大楼,dà lóu,"building (a relatively large, multistory one)"
大陆,Dà lù,mainland China (reference to the PRC)
大门,Dà mén,"the Doors, US rock band"
大脑,dà nǎo,brain; cerebrum
大人,dà ren,adult; grownup; title of respect toward superiors
大赛,dà sài,grand contest
大声,dà shēng,loud voice; in a loud voice; loudly
大师,dà shī,great master; master
大事,dà shì,major event; major political event (war or change of regime); major social event (wedding or funeral); (do sth) in a big way
大厅,dà tīng,hall; lounge
大小,dà xiǎo,dimension; magnitude; size; measurement; large and small; at any rate; adults and children; consideration of seniority
大型,dà xíng,large; large-scale
大学,Dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism"
大约,dà yuē,approximately; probably
大众,Dà zhòng,Volkswagen (automobile manufacturer)
呆,dāi,foolish; stupid; expressionless; blank; to stay
逮捕,dài bǔ,to arrest; to apprehend; an arrest
代,dài,to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon
代表,dài biǎo,representative; delegate; to represent; to stand for; on behalf of; in the name of
代价,dài jià,price; cost; consideration (in share dealing)
代理,dài lǐ,to act on behalf of sb in a responsible position; to act as an agent or proxy; surrogate; (computing) proxy
带,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise
带来,dài lái,to bring; (fig.) to bring about; to produce
待,dāi,to stay
贷款,dài kuǎn,a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
袋,dài,pouch; bag; sack; pocket
戴,Dài,surname Dai
单,Shàn,surname Shan
单独,dān dú,alone; by oneself; on one's own
单身,dān shēn,unmarried; single
单位,dān wèi,"unit (of measure); unit (group of people as a whole); work unit (place of employment, esp. in the PRC prior to economic reform)"
担心,dān xīn,anxious; worried; uneasy; to worry; to be anxious
但,dàn,but; yet; however; still; merely; only; just
但是,dàn shì,but; however
弹,dàn,crossball; bullet; shot; shell; ball
蛋,Dàn,variant of 蜑
蛋糕,dàn gāo,cake
当,dāng,(onom.) dong; ding dong (bell)
当成,dàng chéng,to consider as; to take to be
当初,dāng chū,at that time; originally
当地,dāng dì,local
当年,dāng nián,in those days; then; in those years; during that time
当然,dāng rán,only natural; as it should be; certainly; of course; without doubt
当时,dāng shí,then; at that time; while
当事人,dāng shì rén,persons involved or implicated; party (to an affair)
当天,dāng tiān,on that day
当中,dāng zhōng,among; in the middle; in the center
当作,dàng zuò,to treat as; to regard as
挡,dǎng,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear (e.g. in a car's transmission)
党,Dǎng,surname Dang
档,dǎng,"(Tw) variant of 挡, gear"
档案,dàng àn,file; record; archive
刀,Dāo,surname Dao
导弹,dǎo dàn,(guided) missile
导演,dǎo yǎn,to direct; director (film etc)
导致,dǎo zhì,to lead to; to create; to cause; to bring about
岛,dǎo,variant of 岛
到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
到处,dào chù,everywhere
到达,dào dá,to reach; to arrive
到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last
到来,dào lái,to arrive; arrival; advent
倒,dǎo,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow; to change (trains or buses); to move around; to resell at a profit
道,dào,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)"
道德,dào dé,virtue; morality; ethics
道理,dào li,reason; argument; sense; principle; basis; justification
道路,dào lù,road; path; way
道歉,dào qiàn,to apologize
德,Dé,Germany; German; abbr. for 德国
地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct"
地板,dì bǎn,floor
地点,dì diǎn,place; site; location; venue
地方,dì fāng,region; regional (away from the central administration); local
地面,dì miàn,floor; ground; surface
地球,dì qiú,the earth
地区,dì qū,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture-level city or, county-level city)"
地上,dì shang,on the ground; on the floor
地铁,dì tiě,underground railway; subway; subway train
地图,dì tú,map
地位,dì wèi,position; status; place
地下,dì xià,underground; subterranean; covert
地震,dì zhèn,earthquake
地址,dì zhǐ,address
的,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs
的话,de huà,if (coming after a conditional clause)
的确,dí què,really; indeed
得,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished
得到,dé dào,to get; to obtain; to receive
得分,dé fēn,to score
得了,dé le,all right!; that's enough!
得知,dé zhī,to find out; to learn of
灯,dēng,lamp; light; lantern
登,dēng,to scale (a height); to ascend; to mount; to publish or record; to enter (e.g. in a register); to press down with the foot; to step or tread on; to put on (shoes or trousers) (dialect); to be gathered and taken to the threshing ground (old)
登记,dēng jì,to register (one's name)
等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once
等待,děng dài,to wait; to wait for
等于,děng yú,to equal; to be tantamount to
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline
滴,dī,a drop; to drip
敌人,dí rén,enemy
底,de,(equivalent to 的 as possessive particle)
弟弟,dì di,younger brother
第,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just"
第二,dì èr,second; number two; next; secondary
第一,dì yī,first; number one; primary
典型,diǎn xíng,model; typical case; archetype; typical; representative
点,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items
电,diàn,lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc
电池,diàn chí,battery
电话,diàn huà,telephone; phone call; phone number
电力,diàn lì,electrical power; electricity
电脑,diàn nǎo,computer
电视,diàn shì,television; TV
电视台,diàn shì tái,television station
电梯,diàn tī,elevator; escalator
电影,diàn yǐng,movie; film
电子,diàn zǐ,electronic; electron (particle physics)
店,diàn,inn; old-style hotel; (bound form) shop; store
调,diào,to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody
调查,diào chá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll
调整,tiáo zhěng,to adjust; adjustment; revision
