Vocab,Pinyin,Meaning,Example,Example_Meaning
爸,bà,father; dad; pa; papa,爸，我回来了。,"Dad, I'm back."
爸爸,bà ba,(coll.) father; dad,爸爸在家吗？,Is dad at home?
吧,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",我在酒吧等你。,I am waiting for you at the bar.
罢了,bà le,"a modal particle indicating (that's all, only, nothing much)",普通朋友罢了。,Just ordinary friends.
白,Bái,surname Bai,我朋友姓白。,My friend's surname is Bai.
白色,bái sè,white; fig. reactionary; anti-communist,我喜欢白色。,I like white.
白天,bái tiān,daytime; during the day; day,白天我上班。,I work during the day.
百,Bǎi,surname Bai,我姓百。,My surname is Bai.
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,把书摆在桌上。,Put the book on the table.
摆脱,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,我想摆脱烦恼。,I want to get rid of my worries.
班,Bān,surname Ban,我姓班。,My surname is Ban.
搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,我明天搬家。,I'm moving tomorrow.
板,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,买块木板吧。,Let's buy a wooden board.
版,bǎn,a register; block of printing; edition; version; page,这是最新版吗？,Is this the latest version?
办,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,我来办。,I'll handle it.
办法,bàn fǎ,means; method; way (of doing sth),别担心，有办法。,"Don't worry, there's a way."
办公室,bàn gōng shì,office; business premises; bureau,他在办公室吗？,Is he in the office?
半,bàn,half; semi-; incomplete; (after a number) and a half,我喝了半杯水。,I drank half a cup of water.
半场,bàn chǎng,half of a game or contest; half-court,上半场结束了。,The first half is over.
伴,bàn,partner; companion; comrade; associate; to accompany,路上有个伴真好。,It's great to have a companion.
扮演,bàn yǎn,to play the role of; to act,他喜欢扮演超人。,He likes to play the role of Superman.
帮,bāng,old variant of 帮,请帮帮我。,Please help me.
帮忙,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,你能帮忙吗？,Can you help?
帮助,bāng zhù,assistance; aid; to help; to assist,谢谢你的帮助。,Thank you for your help.
绑架,bǎng jià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,别绑架小孩。,Don't kidnap children.
棒,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,你做得真棒！,You did great!
包,Bāo,surname Bao,包老师来了。,Teacher Bao is here.
包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,价格包括午餐。,The price includes lunch.
宝,bǎo,variant of 宝,這是我的宝。,This is my treasure.
宝宝,bǎo bao,darling; baby,宝宝真可爱。,Baby is so cute.
宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,你是我的宝贝。,You are my darling.
保,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,请保重身体。,Please take care of yourself.
保安,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,我是保安。,I am a security guard.
保持,bǎo chí,to keep; to maintain; to hold; to preserve,请保持安静。,Please keep quiet.
保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),请保存文件。,Please save the file.
保护,bǎo hù,to protect; to defend; to safeguard; protection,我们要保护动物。,We should protect animals.
保留,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,请保留这张票。,Please keep this ticket.
保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,这样比较保险。,This is safer.
保障,bǎo zhàng,to ensure; to guarantee; to safeguard,这能保障你的安全。,This ensures your safety.
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge,我保证准时到。,I promise to arrive on time.
报,bào,to announce; to inform; report; newspaper; recompense; revenge,他报了警。,He called the police.
报道,bào dào,to report (news); report,电视正在报道比赛。,The TV is reporting on the match.
报告,bào gào,to inform; to report; to make known; report; speech; talk; lecture,我报告一下进度。,I'll give a quick progress report.
报警,bào jǐng,to sound an alarm; to report sth to the police,我马上报警。,I will call the police right away.
报纸,bào zhǐ,newspaper; newsprint,他在看报纸。,He is reading the newspaper.
抱,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,妈妈抱我。,Mom hugs me.
抱怨,bào yuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied,别抱怨了。,Stop complaining.
暴力,bào lì,violence; force; violent,别用暴力！,Don't use violence!
暴露,bào lù,to expose; to reveal; to lay bare; also pr. [pù lù],别暴露你的计划。,Don't expose your plan.
爆,bào,to explode or burst; to quick fry or quick boil,气球爆了。,The balloon popped.
爆发,bào fā,to break out; to erupt; to explode; to burst out,火山突然爆发。,The volcano suddenly erupted.
爆炸,bào zhà,explosion; to explode; to blow up; to detonate,煤气爆炸了。,The gas exploded.
杯,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",我要一杯水。,I want a cup of water.
悲剧,bēi jù,tragedy,结局是个悲剧。,The ending is a tragedy.
悲伤,bēi shāng,sad; sorrowful,他看起来很悲伤。,He looks very sad.
北,běi,north; (classical) to be defeated,他往北走。,He walks north.
背,bēi,variant of 背,妈妈背我去学校。,Mom carries me to school on her back.
背后,bèi hòu,behind; at the back; in the rear; behind sb's back,我站你背后。,I'll stand behind you.
背景,bèi jǐng,background; backdrop; context; (fig.) powerful backer,他的背景很普通。,His background is very ordinary.
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",价格翻了一倍。,The price doubled.
被,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",我的包被偷了。,My bag was stolen.
被告,bèi gào,defendant,被告今天出庭了。,The defendant appeared in court today.
本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",我买了一本书。,I bought a book.
本地,běn dì,local; this locality,这是本地的菜。,This is local food.
本来,běn lái,original; originally; at first; it goes without saying; of course,我本来想去。,I originally wanted to go.
本人,běn rén,I; me; myself; oneself; yourself; himself; herself; the person concerned,本人就是。,That's me.
本身,běn shēn,itself; in itself; per se,这问题本身不难。,The problem itself isn't hard.
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,我太笨了。,I'm so stupid.
逼,bī,variant of 逼; to compel; to pressure,别逼我。,Don't force me.
鼻子,bí zi,nose,我鼻子疼。,My nose hurts.
比,Bǐ,Belgium; Belgian; abbr. for 比利时,我去过比。,I have been to Belgium.
比较,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison,今天比较冷。,It's quite cold today.
比如,bǐ rú,for example; for instance; such as,我喜欢水果，比如苹果。,"I like fruit, for example apples."
比如说,bǐ rú shuō,for example,比如说，我喜欢喝茶。,"For example, I like drinking tea."
比赛,bǐ sài,competition (sports etc); match; to compete,我们去看比赛吧。,Let's go watch the match.
彼此,bǐ cǐ,each other; one another,我们彼此信任。,We trust each other.
笔,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",请给我一支笔。,Please give me a pen.
笔记本,bǐ jì běn,notebook (stationery); notebook (computing),我买了一个新笔记本。,I bought a new notebook.
必,bì,certainly; must; will; necessarily,他必会来。,He will certainly come.
必须,bì xū,to have to; must; compulsory; necessarily,你必须去。,You must go.
必要,bì yào,necessary; essential; indispensable; required,这是必要的。,This is necessary.
毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis,他毕竟是个孩子。,"After all, he is a child."
毕业,bì yè,graduation; to graduate; to finish school,我明年毕业。,I will graduate next year.
闭,bì,to close; to stop up; to shut; to obstruct,请闭上眼睛。,Please close your eyes.
避免,bì miǎn,to avert; to prevent; to avoid; to refrain from,避免迟到。,Avoid being late.
边,biān,side; edge; margin; border; boundary; simultaneously,我们坐这边。,Let's sit on this side.
编,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,妈妈编辫子。,Mom braids her hair.
编辑,biān jí,to edit; to compile; editor; compiler,他是一名编辑。,He is an editor.
变,biàn,to change; to become different; to transform; to vary; rebellion,天气变了。,The weather has changed.
变成,biàn chéng,to change into; to turn into; to become,水变成冰了。,Water turned into ice.
变化,biàn huà,(intransitive) to change; to vary; change; variation,天气变化很大。,The weather changes a lot.
便,biàn,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就: then; in that case; even if; soon afterwards,那便好。,Then it's fine.
便宜,biàn yí,convenient,这件衣服很便宜。,This shirt is very cheap.
遍,biàn,variant of 遍,请再说一遍。,Please say it again.
标,biāo,"mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units",请标上价格。,Please mark the price.
标志,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark,这是公司的标志。,This is the company's logo.
标准,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,你的发音很标准。,Your pronunciation is very standard.
表,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),请填这张表。,Please fill out this form.
表达,biǎo dá,to express; to convey,我想表达我的想法。,I want to express my thoughts.
表面,biǎo miàn,surface; face; outside; appearance,表面很光滑。,The surface is very smooth.
表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,事实表明我错了。,Facts show I was wrong.
表情,biǎo qíng,(facial) expression; to express one's feelings,你的表情真可爱！,Your expression is really cute!
表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean,我表示完全同意。,I completely agree.
表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,他今天表现很好。,He performed well today.
表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,今晚有表演吗？,Is there a performance tonight?
别,Bié,surname Bie,别担心。,Don't worry.
别的,bié de,else; other,你想吃别的吗？,Do you want to eat something else?
别人,bié ren,other people; others; other person,我不像别人。,I am not like others.
冰,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,我想喝冰水。,I want to drink iced water.
兵,bīng,soldiers; a force; an army; weapons; arms; military; warlike,他是当兵的。,He is a soldier.
饼,bǐng,round flat cake; cookie; cake; pastry,这饼真好吃。,This cake is really delicious.
并,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,我并不累。,I am not tired at all.
并非,bìng fēi,really isn't,这并非事实,This isn't really true.
并且,bìng qiě,and; besides; moreover; furthermore; in addition,我喜欢跑步并且游泳。,I like running and swimming.
病,bìng,illness; disease; to fall ill; defect,我生病了。,I am sick.
病毒,bìng dú,virus,电脑有病毒。,The computer has a virus.
病人,bìng rén,sick person; patient; invalid,病人需要休息。,The patient needs rest.
拨,bō,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch",我拨个电话。,I'll dial a number.
玻璃,bō li,glass; (slang) male homosexual,小心玻璃。,Be careful of the glass.
播,bō,to sow; to scatter; to spread; to broadcast; Taiwan pr. [bò],电视正在播新闻。,The TV is broadcasting the news.
播放,bō fàng,to broadcast; to transmit (by radio or TV),电视正在播放新闻。,The TV is broadcasting the news.
脖子,bó zi,neck,我脖子疼。,My neck hurts.
博士,bó shì,doctor; court academician (in feudal China); Ph.D.,他是博士。,He has a Ph.D.
补,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,我明天去补课。,I will make up the class tomorrow.
补偿,bǔ cháng,to compensate; to make up,我会用钱补偿你。,I will compensate you.
不,bù,no; not so; (bound form) not; un-,我不去。,I am not going.
不必,bù bì,need not; does not have to; not necessarily,你不必来。,You don't have to come.
不错,bù cuò,correct; right; not bad; pretty good,你的中文不错。,Your Chinese is pretty good.
不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,我不得不去。,I have to go.
不断,bù duàn,unceasing; uninterrupted; continuous; constant,他不断学习中文。,He keeps learning Chinese.
不对,bù duì,incorrect; wrong; amiss; abnormal; queer,你说得不对。,What you said is wrong.
不够,bù gòu,not enough; insufficient; inadequate,钱不够。,Not enough money.
不管,bù guǎn,not to be concerned; regardless of; no matter,不管多忙，我陪你。,"No matter how busy, I will stay with you."
不过,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),不过今天不行。,But today doesn't work.
不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),不好意思，打扰了。,Sorry to bother you.
不见,bù jiàn,not to see; not to meet; to have disappeared; to be missing,好久不见！,Long time no see!
不仅,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",她不仅会唱，还会跳。,"She can not only sing, but also dance."
不久,bù jiǔ,not long (after); before too long; soon; soon after,我不久就回来。,I'll be back soon.
不论,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss",不论何时，我都在。,"No matter when, I'm here."
不然,bù rán,not so; no; or else; otherwise; if not; How about ...?,快点走，不然要迟到了。,"Hurry up, or else we'll be late."
不如,bù rú,not equal to; not as good as; inferior to; it would be better to,下雨不如在家休息。,It would be better to rest at home when it rains.
不少,bù shǎo,many; a lot; not few,今天来了不少人。,Many people came today.
不同,bù tóng,different; distinct; not the same; not alike,我们想法不同。,Our ideas are different.
不行,bù xíng,won't do; be out of the question; be no good; not work; not be capable,这个办法不行。,This method won't work.
不幸,bù xìng,misfortune; adversity; unfortunate; sad; unfortunately,不幸的是，他病了。,"Unfortunately, he is sick."
不许,bù xǔ,not to allow; must not; can't,这里不许拍照。,No photos allowed here.
不要,bù yào,don't!; must not,不要说话。,Don't talk.
不一定,bù yī dìng,not necessarily; maybe,明天不一定下雨。,It might not rain tomorrow.
不用,bù yòng,need not,你不用来了。,You don't need to come.
不再,bù zài,no more; no longer,我不再抽烟了。,I don't smoke anymore.
不知,bù zhī,"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)",我不知真假。,I don't know if it's true or false.
不止,bù zhǐ,incessantly; without end; more than; not limited to,不止一次了。,More than once.
不准,bù zhǔn,not to allow; to forbid; to prohibit,这里不准拍照。,No photos allowed here.
不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,时间不足，改天吧。,"Not enough time, let's do it another day."
布,bù,variant of 布; to announce; to spread,消息已公布。,The news has been announced.
步,Bù,surname Bu,步老师来了。,Teacher Bu is here.
部,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",我买了一部新手机。,I bought a new phone.
部队,bù duì,army; armed forces; troops; force; unit,我爸爸在部队。,My dad is in the army.
部分,bù fen,part; share; section; piece,这部分很简单。,This part is very simple.
部门,bù mén,department; branch; section; division,你在哪个部门？,Which department are you in?
部长,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister,部长说没问题。,The minister says no problem.
擦,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)",请擦桌子。,Please wipe the table.
猜,cāi,to guess,你猜对了吗？,Did you guess correctly?
才,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,他才五岁。,He is only five years old.
才能,cái néng,talent; ability; capacity,他很有才能。,He has great talent.
材料,cái liào,(raw) material; data; (fig.) person who has the potential to do the job,我需要买些材料。,I need to buy some materials.
财产,cái chǎn,property; assets; estate,他有很多财产。,He has a lot of property.
财富,cái fù,wealth; riches,健康就是财富。,Health is wealth.
财务,cái wù,financial affairs,我是财务。,I work in finance.
采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,明天我要采访他。,Tomorrow I will interview him.
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",我们采取了新措施。,We adopted new measures.
采用,cǎi yòng,to adopt; to employ; to use,我们采用新方法。,We use a new method.
踩,cǎi,variant of 踩,我踩到石头了。,I stepped on a stone.
菜,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,今天吃什么菜？,What dish should we eat today?
参观,cān guān,to look around; to tour; to visit,我们去参观博物馆。,We will visit the museum.
参加,cān jiā,to participate; to take part; to join,我想参加。,I want to join.
参赛,cān sài,to compete; to take part in a competition,我想参赛。,I want to compete.
参与,cān yù,to participate (in sth),你愿意参与吗？,Would you like to participate?
餐,cān,meal; to eat; classifier for meals,晚餐吃什么？,What's for dinner?
餐厅,cān tīng,dining hall; dining room; restaurant,我们在餐厅吃饭。,We are eating at the restaurant.
惨,cǎn,miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy,他输得很惨。,He lost badly.
藏,Zàng,Tibet; abbr. for Xizang or Tibet Autonomous Region 藏,我想去藏。,I want to go to Tibet.
操作,cāo zuò,to work; to operate; to manipulate,这个机器怎么操作？,How do you operate this machine?
草,cǎo,variant of 草,别踩草。,Don't step on the grass.
侧,cè,the side; to incline towards; to lean; inclined; lateral; side,请往侧边走。,Please walk to the side.
厕所,cè suǒ,toilet; lavatory,我去一下厕所。,I'm going to the toilet.
测,cè,to survey; to measure; to conjecture,请测一下体温。,Please measure your temperature.
测试,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),我们测试一下软件。,Let's test the software.
策略,cè lu:è,strategy; tactics; crafty; adroit,你的策略很好。,Your strategy is very good.
策划,cè huà,to plot; to scheme; to bring about; to engineer; planning; producer; planner,谁策划了这次活动？,Who planned this event?
层,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers,这栋楼有十层。,This building has ten floors.
曾,Zēng,surname Zeng,曾老师来了。,Teacher Zeng is here.
曾经,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),我曾经去过北京。,I once went to Beijing.
插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,把花插进花瓶。,Put the flower in the vase.
查,Zhā,surname Zha,他姓查。,He is surnamed Zha.
查看,chá kàn,to look over; to examine; to check up; to ferret out,帮我查看一下。,Please help me check it.
茶,chá,tea; tea plant,我喜欢喝茶。,I like drinking tea.
差,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,价格差多少？,How much is the price difference?
差不多,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad,我们差不多到了。,We're almost there.
拆,chāi,to tear open; to tear down; to tear apart; to open,我拆快递。,I'm opening a package.
产,chǎn,to give birth; to reproduce; to produce; product; resource; estate; property,这里产大米。,This place produces rice.
产品,chǎn pǐn,goods; merchandise; product,这个产品很好。,This product is very good.
产生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate,他产生了兴趣。,He became interested.
尝,cháng,to taste; to try (food); to experience; (literary) ever; once,你尝过这个吗？,Have you tasted this?
尝试,cháng shì,to try; to attempt,我想尝试这个菜。,I want to try this dish.
常,Cháng,surname Chang,他姓常。,His surname is Chang.
常常,cháng cháng,frequently; often,我常常去公园。,I often go to the park.
厂,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",这个字有厂字旁。,This character has the cliff radical.
场,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout",看了一场电影。,I watched a movie.
唱,chàng,to sing; to call loudly; to chant,我喜欢唱歌。,I like to sing.
唱歌,chàng gē,to sing a song,我喜欢唱歌。,I like to sing.
超,chāo,to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-,他跑得超快。,He runs super fast.
超过,chāo guò,to surpass; to exceed; to outstrip,他的成绩超过了我。,His grades exceeded mine.
超级,chāo jí,super-; ultra-; hyper-,这菜超级好吃。,This dish is super delicious.
朝,Cháo,abbr. for 朝鲜 Korea,我想去朝玩。,I want to visit Korea.
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,邻居太吵了。,The neighbors are too noisy.
炒,chǎo,to sauté; to stir-fry; to speculate; to hype; to fire (sb),妈妈在炒菜。,Mom is stir-frying vegetables.
车,Chē,surname Che,他姓车。,His surname is Che.
车辆,chē liàng,vehicle,这里车辆很多。,There are many vehicles here.
车上,chē shàng,Car,我在车上等你。,I'm waiting for you in the car.
扯,chě,"to pull; to tear; (of cloth, thread etc) to buy; to chat; to gossip; (coll.) (Tw) ridiculous; hokey",别扯了，我不信。,"Stop talking nonsense, I don't believe it."
彻底,chè dǐ,thorough; thoroughly; complete,我彻底明白了。,I completely understand now.
沉默,chén mò,taciturn; uncommunicative; silent,他突然沉默了。,He suddenly became silent.
称,chèn,to fit; balanced; suitable,这衣服很称你。,This dress fits you well.
称为,chēng wéi,"to be called; to be known as; to call it ""...""",这里称为市中心。,This area is known as the city center.
撑,chēng,to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support,我撑伞回家。,I'll take an umbrella home.
成,Chéng,surname Cheng,我叫成伟。,My name is Cheng Wei.
成功,Chéng gōng,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan",祝你成功。,Wish you success.
成果,chéng guǒ,result; achievement; gain; profit,你的成果真不错。,Your results are great.
成绩,chéng jì,achievement; performance records; grades,你的成绩很好。,Your grades are very good.
成交,chéng jiāo,to complete a contract; to reach a deal,没问题，成交。,Deal.
成就,chéng jiù,accomplishment; success; achievement; to achieve (a result); to create; to bring about,他取得了很大成就。,He achieved great success.
成立,chéng lì,to establish; to set up; to be tenable; to hold water,公司成立了。,The company was established.
成熟,chéng shú,mature; ripe; to mature; to ripen; Taiwan pr. [chéng shóu],水果成熟了。,The fruit is ripe.
成为,chéng wéi,to become; to turn into,我想成为老师。,I want to become a teacher.
成员,chéng yuán,member,他是新成员。,He is a new member.
成长,chéng zhǎng,to mature; to grow; growth,我在慢慢成长。,I am slowly growing up.
呈现,chéng xiàn,to appear; to emerge; to present (a certain appearance); to demonstrate,屏幕呈现清晰画面。,The screen shows a clear picture.
承担,chéng dān,to undertake; to assume (responsibility etc),我来承担吧。,I'll handle it.
承诺,chéng nuò,to promise; to undertake to do something; commitment,我承诺会来。,I promise to come.
承认,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",我承认错了。,I admit I was wrong.
承受,chéng shòu,to bear; to support; to inherit,我承受不了压力。,I can't bear the pressure.
城,chéng,city walls; city; town,我喜欢这座城。,I like this city.
城市,chéng shì,city; town,我喜欢这座城市。,I like this city.
乘,Chéng,surname Cheng,他姓乘。,His surname is Cheng.
乘客,chéng kè,passenger,乘客请坐好。,"Passengers, please sit down."
程度,chéng dù,degree; level; extent,他的中文程度很好。,His Chinese level is very good.
程序,chéng xù,procedures; sequence; order; computer program,这个程序很好用。,This program is very easy to use.
吃,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",我吃饭了。,I ate.
吃饭,chī fàn,to have a meal; to eat; to make a living,你吃饭了吗？,Have you eaten?
迟到,chí dào,to arrive late,我今天迟到了。,I was late today.
持,chí,to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control,请保持联系。,Please keep in touch.
持续,chí xù,to continue; to persist; to last; sustainable; preservation,雨持续下了三天。,The rain continued for three days.
充分,chōng fèn,ample; sufficient; adequate; full; fully; to the full,时间很充分。,Time is sufficient.
充满,chōng mǎn,full of; brimming with; very full; permeated,房间里充满阳光。,The room is full of sunlight.
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,用水冲一下。,Rinse it with water.
冲动,chōng dòng,to have an urge; to be impetuous; impulse; urge,他太冲动了。,He is too impulsive.
冲突,chōng tū,conflict; to conflict; clash of opposing forces; collision (of interests); contention,我们之间没有冲突。,There is no conflict between us.
抽,chōu,to draw out; to pull out from in between; to remove part of the whole; (of certain plants) to sprout or bud; to whip or thrash,我去抽血。,I'm going to draw blood.
丑,Chǒu,surname Chou,他姓丑。,His surname is Chou.
臭,chòu,stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition),这袜子真臭。,These socks really smell bad.
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",他出门了。,He went out.
出版,chū bǎn,to publish,我的书出版了。,My book has been published.
出发,chū fā,to set off; to start (on a journey),我们明天出发。,We will set off tomorrow.
出口,chū kǒu,an exit; to speak; to export; (of a ship) to leave port,出口在哪里？,Where is the exit?
出来,chū lái,to come out; to appear; to arise,他出来了。,He came out.
出门,chū mén,to go out; to leave home; to go on a journey; away from home; (of a woman) to get married,我要出门了。,I'm going out now.
出去,chū qù,to go out,我想出去走走。,I want to go out for a walk.
出色,chū sè,remarkable; outstanding,你这次做得真出色。,You did remarkably well this time.
出生,chū shēng,to be born,我出生在北京。,I was born in Beijing.
出售,chū shòu,to sell; to offer for sale; to put on the market,这辆车出售吗？,Is this car for sale?
出席,chū xí,to attend; to participate; present,他出席了会议。,He attended the meeting.
出现,chū xiàn,to appear; to arise; to emerge; to show up,问题又出现了。,The problem appeared again.
出于,chū yú,due to; to stem from,出于好奇，他问了个问题。,He asked out of curiosity.
出租车,chū zū chē,taxi; (Tw) rental car,我们坐出租车吧。,Let's take a taxi.
初,chū,at first; (at the) beginning; first; junior; basic,起初我不懂。,"At first, I didn't understand."
