Vocab,Pinyin,Meaning,Example,Example_Meaning
罢了,bà le,"a modal particle indicating (that's all, only, nothing much)",我没什么特别的爱好，就是喜欢看看书罢了。,I don’t have any special hobbies; I just like reading books.
白,Bái,surname Bai,我的新同事姓白，他来自北京。,"My new colleague's surname is Bai, and he is from Beijing."
白色,bái sè,white; fig. reactionary; anti-communist,她喜欢穿白色的衣服，因为看起来干净又清爽。,"white (literal/color usage, which is the most common and practical in daily conversation)"
白天,bái tiān,daytime; during the day; day,我白天在办公室工作，晚上才有时间陪家人。,"I work in the office during the day, and only have time to spend with my family at night."
百,Bǎi,surname Bai,我的新同学姓百，他平时待人特别友善。,"My new classmate's surname is Bai, and he is always very friendly to everyone."
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,妈妈把鲜花摆在餐桌上，让家里看起来更温馨。,My mother arranged the fresh flowers on the dining table to make the house feel cozier.
摆脱,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,经过多次尝试，她终于摆脱了焦虑的情绪，重新找回了生活的平静。,"After multiple attempts, she finally freed herself from anxiety and regained peace in her life."
班,Bān,surname Ban,班先生是我们公司的新经理。,Mr. Ban is our company's new manager.
搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,我们打算下个月把家具都搬到新买的房子里。,We plan to move all the furniture into our newly bought house next month.
板,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,他板着脸坐在沙发上，一句话也不说。,to stop smiling or look serious
版,bǎn,a register; block of printing; edition; version; page,这本书的最新版已经上市，内容比旧版更加详细。,"The latest edition of this book is now on sale, and its content is more detailed than the previous edition."
办,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,明天我要去银行办一张新的银行卡。,Tomorrow I need to go to the bank to get a new bank card.
办法,bàn fǎ,means; method; way (of doing sth),我们得想个办法解决这个问题。,We need to think of a way to solve this problem.
办公室,bàn gōng shì,office; business premises; bureau,公司的新办公室位于市中心，交通十分便利。,"The company's new office is located in the city center, and the transportation there is very convenient."
半,bàn,half; semi-; incomplete; (after a number) and a half,我昨晚只睡了六个小时半。,I only slept six and a half hours last night.
半场,bàn chǎng,half of a game or contest; half-court,比赛进行到半场时，双方战成了平局，教练趁机调整了战术。,"When the game reached halftime, both sides were tied, so the coach took the opportunity to adjust tactics."
伴,bàn,partner; companion; comrade; associate; to accompany,他退休后，以读书为伴，生活充实而宁静。,"After retirement, he took reading as his companion, and his life became fulfilling and peaceful."
扮演,bàn yǎn,to play the role of; to act,他在学校的戏剧表演中扮演了主角。,He played the lead role in the school drama performance.
帮,bāng,old variant of 帮,他经常帮邻居照顾小孩。,He often helps the neighbor take care of the child.
帮忙,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,明天我要去机场接客户，你能帮忙照看一下办公室吗？,I need to pick up a client at the airport tomorrow; could you help look after the office?
帮助,bāng zhù,assistance; aid; to help; to assist,谢谢你的帮助，让我顺利通过了这次面试。,Thank you for your help; it allowed me to successfully pass this interview.
绑架,bǎng jià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,警方提醒家长，近期有歹徒试图在放学路上绑架儿童，请务必按时接送孩子。,"The police have warned parents that criminals have recently attempted to kidnap children on their way home from school, so please be sure to pick them up on time."
棒,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,你的中文说得真棒！,Your Chinese is really great!
包,Bāo,surname Bao,包先生是我们公司新来的项目经理，大家都很喜欢和他合作。,"Mr. Bao is the new project manager at our company, and everyone really enjoys working with him."
包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,这个旅游套餐的价格包括往返机票、酒店住宿以及每日三餐。,"The price of this travel package includes round-trip flights, hotel accommodation, and three meals a day."
宝,bǎo,variant of 宝,他把这本旧书视为无价之宝。,He regards this old book as a priceless treasure.
宝宝,bǎo bao,darling; baby,妈妈轻轻拍着宝宝的背，哄他入睡。,The mother gently patted the baby's back to help him fall asleep.
宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,妈妈把刚出生的小女儿当成了心头的宝贝，每天都轻声哄她睡觉。,darling / treasured person (affectionate usage)
保,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,在近期的经贸谈判中，保方提出了多项建设性方案，推动了合作进程。,"In the recent economic and trade negotiations, the Bulgarian side proposed several constructive proposals that helped advance the cooperation process."
保安,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,大楼的保安负责日常巡逻和门禁管理，以确保公共安全。,The building's security guard is responsible for daily patrols and access control to ensure public safety.
保持,bǎo chí,to keep; to maintain; to hold; to preserve,为了保持身体健康，我每天至少散步三十分钟。,"To keep my body healthy, I walk at least thirty minutes every day."
保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),写完后记得随时保存文件，以免电脑突然关机导致内容丢失。,"Remember to save your file frequently while working, so you don't lose your progress if the computer suddenly shuts down."
保护,bǎo hù,to protect; to defend; to safeguard; protection,为了保护眼睛，长时间看屏幕后记得多看看远处的绿色植物。,"To protect your eyes, remember to look at distant green plants after staring at screens for a long time."
保留,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,如果您暂时还不确定行程，我们可以先为您保留这个房间到明天中午。,(to keep / to retain; to hold something available for later use)
保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,为了保障家人的健康，我们决定每年续保一份医疗保险。,"To protect our family's health, we decided to renew a medical insurance policy every year."
保障,bǎo zhàng,to ensure; to guarantee; to safeguard,完善的法律法规能够有效保障消费者的合法权益。,Sound laws and regulations can effectively safeguard consumers' legitimate rights and interests.
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge,我保证明天一定把报告交给你。,I guarantee that I will hand over the report to you tomorrow.
报,bào,to announce; to inform; report; newspaper; recompense; revenge,如果你发现任何安全隐患，请立即向主管报告。,report/inform (used in the compound 报告 to show the core character 报's function of conveying information to an authority)
报道,bào dào,to report (news); report,这家电视台正在实时报道台风的情况。,This TV station is reporting on the typhoon in real time.
报告,bào gào,to inform; to report; to make known; report; speech; talk; lecture,请你在周五之前提交这份工作报告。,Please submit this work report by Friday.
报警,bào jǐng,to sound an alarm; to report sth to the police,发现钱包被偷后，她立刻报了警。,"After discovering her wallet was stolen, she immediately called the police."
报纸,bào zhǐ,newspaper; newsprint,我每天早晨都会看报纸，了解最新的新闻。,I read the newspaper every morning to stay updated on the latest news.
抱,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,妈妈轻轻地把熟睡的孩子抱在怀里，生怕吵醒他。,"The mother gently held the sleeping child in her arms, afraid of waking him up."
抱怨,bào yuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied,她总是抱怨饭菜太咸，可每次还是吃得干干净净。,"She always complains that the food is too salty, but she still finishes every bite."
暴力,bào lì,violence; force; violent,我们应该用和平的方式解决冲突，而不是诉诸暴力。,We should resolve conflicts peacefully rather than resort to violence.
暴露,bào lù,to expose; to reveal; to lay bare; also pr. [pù lù],他不经意的言行常常暴露他的真实想法。,His casual words and actions often reveal his true thoughts.
爆,bào,to explode or burst; to quick fry or quick boil,这道菜的秘诀是用猛火将食材快速爆炒，以锁住原汁原味。,The secret to this dish is to quickly stir-fry the ingredients over high heat to lock in their natural flavor.
爆发,bào fā,to break out; to erupt; to explode; to burst out,听到这个好消息，全场观众突然爆发出一阵热烈的掌声。,"After hearing the good news, the audience suddenly burst into warm applause."
爆炸,bào zhà,explosion; to explode; to blow up; to detonate,由于操作不当，工厂里的化学品突然发生了爆炸。,"Due to improper handling, chemicals at the factory suddenly exploded."
杯,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",我每天早晨都会喝一杯温水来提神。,I drink a cup of warm water every morning to stay refreshed.
悲剧,bēi jù,tragedy,这场严重的交通事故成了一场令人痛心的悲剧，提醒我们出行时一定要遵守交通规则。,"The serious traffic accident was a heartbreaking tragedy, reminding us to always follow traffic rules when traveling."
悲伤,bēi shāng,sad; sorrowful,听到这个悲伤的消息后，他忍不住流下了眼泪。,"After hearing the sad news, he couldn't help but shed tears."
北,běi,north; (classical) to be defeated,他住在城市的北面，每天去公司上班只要走十分钟。,"north/northern (modern, practical usage)"
背,bēi,variant of 背,他背着一大袋米走回家。,He carries a big bag of rice home on his back.
背后,bèi hòu,behind; at the back; in the rear; behind sb's back,他悄悄走到我背后，轻轻拍了拍我的肩膀。,He quietly walked behind me and gently patted my shoulder.
背景,bèi jǐng,background; backdrop; context; (fig.) powerful backer,在讨论这个政策之前，我们先了解一下它的历史背景。,background/context
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",这款新手机的运行速度是旧型号的两倍。,The operating speed of this new phone is twice that of the old model.
被,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",我的自行车被邻居不小心撞坏了。,My bicycle was accidentally damaged by my neighbor.
被告,bèi gào,defendant,被告在庭审中否认了所有指控。,The defendant denied all the charges during the trial.
本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",这本杂志的内容非常实用，我推荐你也读一读。,(classifier for periodicals/books) This magazine is very practical; I recommend you read it as well.
本地,běn dì,local; this locality,为了支持社区发展，我们尽量购买本地生产的商品。,"To support community development, we try to purchase locally produced goods."
本来,běn lái,original; originally; at first; it goes without saying; of course,我本来打算周末去爬山，结果下雨了，只好改在家里休息。,"I originally planned to go hiking on the weekend, but it rained, so I had to stay home and rest instead."
本人,běn rén,I; me; myself; oneself; yourself; himself; herself; the person concerned,本人已仔细阅读并同意上述条款。,I have carefully read and agree to the above terms.
本身,běn shēn,itself; in itself; per se,钱本身并没有对错，关键在于我们如何使用它。,Money itself is neither right nor wrong; it depends on how we use it.
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,刚开始学骑自行车时，我的动作特别笨，总是掌握不好平衡。,"When I first started learning to ride a bicycle, my movements were so clumsy that I couldn't keep my balance."
逼,bī,variant of 逼; to compel; to pressure,父母逼他放弃艺术梦想，去学一门更稳定的专业。,His parents pressured him to give up his artistic dreams and study a more stable major.
鼻子,bí zi,nose,天气太冷了，我的鼻子都冻红了。,The weather is so cold that my nose turned red.
比,Bǐ,Belgium; Belgian; abbr. for 比利时,在世界杯赛场上，比队凭借严密的防守战术成功晋级四强。,"At the World Cup, the Belgian team successfully advanced to the semifinals thanks to their tight defensive tactics."
比较,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison,你可以**比较**一下这两款手机的价格和性能，再决定买哪一款。,(used as a verb: to compare)
比如,bǐ rú,for example; for instance; such as,中国有很多著名的美食，比如北京烤鸭、四川火锅和广东点心。,"China has many famous dishes, such as Peking duck, Sichuan hot pot, and Cantonese dim sum."
比如说,bǐ rú shuō,for example,学习中文有很多实用的方法，比如说每天听一段中文播客、看中国电视剧，或者和母语者聊天。,"There are many practical ways to learn Chinese, for example, listening to a Chinese podcast every day, watching Chinese TV dramas, or chatting with native speakers."
比赛,bǐ sài,competition (sports etc); match; to compete,我们学校的篮球队下周要去参加一场重要的比赛。,Our school's basketball team is going to participate in an important match next week.
彼此,bǐ cǐ,each other; one another,在团队合作中，成员们必须彼此信任，才能高效地完成任务。,"In a team, members must trust each other to complete tasks efficiently."
笔,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",请借我一支笔，我需要在这份文件上签字。,Please lend me a pen; I need to sign this document.
笔记本,bǐ jì běn,notebook (stationery); notebook (computing),上课或开会时，请记得把重点内容记在笔记本上，方便日后复习和查阅。,Please remember to write down key points in your notebook during class or meetings so you can easily review and reference them later.
必,bì,certainly; must; will; necessarily,他答应的事，必定会按时完成。,"He promised to do it, and he will certainly complete it on time."
必须,bì xū,to have to; must; compulsory; necessarily,根据规定，所有员工必须佩戴工作证进入办公区。,"According to regulations, all employees must wear their ID badges when entering the office area."
必要,bì yào,necessary; essential; indispensable; required,每天保证充足的睡眠对维持身体健康是非常必要的。,Getting adequate sleep every day is essential for maintaining good health.
毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis,我们决定留在国内工作，毕竟离家更近，也能多陪陪父母。,"We decided to stay and work in our home country; after all, it’s closer to home and allows us to spend more time with our parents."
毕业,bì yè,graduation; to graduate; to finish school,我明年六月就要大学毕业了。,I will graduate from university next June.
闭,bì,to close; to stop up; to shut; to obstruct,请闭上眼睛休息一会儿，让大脑彻底放松下来。,Please close your eyes and rest for a while to let your brain completely relax.
避免,bì miǎn,to avert; to prevent; to avoid; to refrain from,为了保持健康，医生建议他避免吃太多油腻的食物。,"To stay healthy, the doctor advised him to avoid eating too much greasy food."
边,biān,side; edge; margin; border; boundary; simultaneously,请把这盆花放在窗边的桌子上。,Please put this potted plant on the table by the window.
编,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,她正在编一本关于中国传统节日的教材，确保内容既准确又通俗易懂。,(compile / edit / write)
编辑,biān jí,to edit; to compile; editor; compiler,他正在编辑一篇关于人工智能的学术论文。,He is editing an academic paper about artificial intelligence.
变,biàn,to change; to become different; to transform; to vary; rebellion,最近天气变冷了，出门记得多穿点衣服。,"The weather has turned cold lately, so remember to wear more clothes when you go out."
变成,biàn chéng,to change into; to turn into; to become,经过几年的努力，他终于把梦想变成了现实。,"After years of hard work, he finally turned his dream into reality."
变化,biàn huà,(intransitive) to change; to vary; change; variation,近年来，这座城市的变化非常大，到处都在建新的地铁和公园。,"The changes in this city have been enormous in recent years, with new subways and parks being built everywhere."
便,biàn,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就: then; in that case; even if; soon afterwards,既然时间还早，我们便先去喝杯咖啡吧。,"Since we still have time, let's go ahead and grab a coffee first."
便宜,biàn yí,convenient,这家超市的水果很便宜，所以很多人来买。,"cheap / inexpensive (note: the correct pinyin is pián yi, not biàn yí; “convenient” in Chinese is 方便 fāngbiàn)"
遍,biàn,variant of 遍,请把这个单词读三遍，注意发音。,"Please read this word three times, paying attention to the pronunciation."
标,biāo,"mark; sign; label; to mark with a symbol, label, lettering etc; to bear (a brand name, registration number etc); prize; award; bid; target; quota; (old) the topmost branches of a tree; visible symptom; classifier for military units",请在每个产品包装上标清规格和价格，方便顾客选购。,Please clearly mark the specifications and price on each product package to help customers make their choices.
标志,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark,这家公司的新标志采用了简洁的图形设计，象征着环保与可持续发展。,"The company's new logo features a minimalist graphic design, symbolizing environmental protection and sustainable development."
标准,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,为了通过国际认证，所有产品都必须符合严格的质量标准。,"To pass international certification, all products must meet strict quality standards."
表,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),请在这张表上填写你的姓名、电话和邮箱。,"Please fill in your name, phone number, and email on this form."
表达,biǎo dá,to express; to convey,他通过邮件清楚地表达了自己的想法。,He clearly expressed his thoughts through an email.
表面,biǎo miàn,surface; face; outside; appearance,这件事表面上看很简单，但实际操作起来并不容易。,"On the surface, this task looks simple, but it is not easy to actually carry out."
表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,最新的市场调查报告表明，消费者对环保产品的需求正在快速增长。,The latest market survey report indicates that consumer demand for eco-friendly products is growing rapidly.
表情,biǎo qíng,(facial) expression; to express one's feelings,从他的表情中，我能看出他其实很紧张。,"From his expression, I could tell he was actually very nervous."
表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean,他点了点头，表示同意我的建议。,He nodded to show he agreed with my suggestion.
表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,他在这次项目中的出色表现赢得了团队的一致认可。,His outstanding performance in this project won the team's unanimous recognition.
表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,她在学校的文艺晚会上表演了一支优美的舞蹈，赢得了全场热烈的掌声。,"She performed an elegant dance at the school's cultural evening gala, earning warm applause from the audience."
别,Bié,surname Bie,我的新同事姓别，他是一位非常耐心的中文老师。,"My new colleague's surname is Bie, and he is a very patient Chinese teacher."
别的,bié de,else; other,除了英语，你还想学别的语言吗？,"Besides English, would you like to learn any other languages?"
别人,bié ren,other people; others; other person,遇到困难时，我们可以向别人请教，但最后还是要靠自己解决。,"When facing difficulties, you can ask others for advice, but ultimately you still need to solve the problem yourself."
冰,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,请在这杯果汁里加两块冰，喝起来会更清爽。,Please add two ice cubes to this glass of juice; it will taste much more refreshing.
兵,bīng,soldiers; a force; an army; weapons; arms; military; warlike,他大学毕业后选择去当兵，希望能在军营中锻炼自己并保家卫国。,"After graduating from university, he chose to join the military, hoping to train himself in the army and help defend his country."
饼,bǐng,round flat cake; cookie; cake; pastry,奶奶亲手烙的芝麻饼又香又脆，我一天就吃光了。,Grandma's homemade sesame cakes are fragrant and crispy; I ate them all in one day.
并,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,这个问题并不复杂，只要多练习就能掌握。,(not) at all / not in the least (used before a verb or adjective to emphasize negation)
并非,bìng fēi,really isn't,他并非不想参加聚会，只是最近工作实在太忙了。,He isn't really unwilling to attend the gathering; he's just been too busy with work lately.
并且,bìng qiě,and; besides; moreover; furthermore; in addition,这家餐厅的菜品味道很好，并且价格也很合理。,"The food at this restaurant is delicious, and the prices are very reasonable."
病,bìng,illness; disease; to fall ill; defect,他最近病了，所以没能来参加聚会。,"He has been ill recently, so he couldn't make it to the gathering."
病毒,bìng dú,virus,最近流感病毒很活跃，大家出门记得戴口罩并勤洗手。,"The flu virus is very active lately, so remember to wear a mask and wash your hands frequently when going out."
病人,bìng rén,sick person; patient; invalid,这位病人已经康复了，明天就可以出院回家。,This patient has recovered and can be discharged home tomorrow.
拨,bō,"to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch",我手机没电了，能借你的电话拨一下这个号码吗？,My phone is out of battery; could I borrow yours to dial this number?
玻璃,bō li,glass; (slang) male homosexual,厨房的窗户玻璃裂了一道缝，得赶紧叫师傅来换。,"The kitchen window glass has a crack in it, so we need to call a technician to replace it right away."
播,bō,to sow; to scatter; to spread; to broadcast; Taiwan pr. [bò],这家电视台每天早晨都会准时播新闻。,broadcast
播放,bō fàng,to broadcast; to transmit (by radio or TV),电视台将在晚上八点准时播放新闻节目。,The TV station will broadcast the news program at 8 PM sharp.
脖子,bó zi,neck,我坐得太久了，脖子有点酸。,"I've been sitting too long, and my neck is a bit sore."
博士,bó shì,doctor; court academician (in feudal China); Ph.D.,她去年获得了博士学位，现在在一所知名大学担任助理教授。,She earned her Ph.D. last year and now works as an assistant professor at a well-known university.
补,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,袜子破了个洞，我自己用针线补了一下。,"There was a hole in my sock, so I patched it myself with a needle and thread."
补偿,bǔ cháng,to compensate; to make up,为了补偿这次航班延误给乘客带来的不便，航空公司免费提供了住宿和餐饮。,"To compensate passengers for the inconvenience caused by the flight delay, the airline provided free accommodation and meals."
不,bù,no; not so; (bound form) not; un-,我不知道这个问题的答案。,I don't know the answer to this question.
不必,bù bì,need not; does not have to; not necessarily,去机场坐地铁就可以了，不必打车。,You can just take the subway to the airport; you don't have to take a taxi.
不错,bù cuò,correct; right; not bad; pretty good,这家新开的餐厅味道不错，价格也合理，推荐你去试试。,"This newly opened restaurant tastes pretty good, and the prices are reasonable. I recommend you try it."
不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,因为突发的会议，我不得不推迟了原定的旅行计划。,"Due to a sudden meeting, I had no choice but to postpone my original travel plans."
不断,bù duàn,unceasing; uninterrupted; continuous; constant,为了流利地使用中文，她不断练习对话并坚持阅读新闻。,"To speak Chinese fluently, she constantly practices conversations and insists on reading the news."
不对,bù duì,incorrect; wrong; amiss; abnormal; queer,我检查了一遍，发现这道题的解题步骤不对。,I checked it over and realized the steps to solve this problem are incorrect.
不够,bù gòu,not enough; insufficient; inadequate,我们的时间不够，得另找一天开会。,"We don't have enough time, so we'll need to find another day for the meeting."
不管,bù guǎn,not to be concerned; regardless of; no matter,不管天气怎么样，明天早上八点我都会在车站等你。,"No matter what the weather is like, I will wait for you at the station at 8 a.m. tomorrow."
不过,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),这家餐厅的菜品味道不错，不过价格稍微有点贵。,"The food at this restaurant tastes good, but the price is a bit high."
不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),不好意思，打扰一下，请问去地铁站怎么走？,"Excuse me, sorry to bother you; could you tell me how to get to the subway station?"
不见,bù jiàn,not to see; not to meet; to have disappeared; to be missing,我找遍了整张书桌，却始终不见那本重要的笔记。,"I searched the entire desk, but that important notebook was nowhere to be found."
不仅,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",学习汉语不仅能帮助我们了解中国文化，还能让我们在职场上获得更多机会。,Learning Chinese not only helps us understand Chinese culture but also gives us more opportunities in the workplace.
不久,bù jiǔ,not long (after); before too long; soon; soon after,我们刚搬到这座城市，不久就交到了很多朋友。,"We had just moved to this city, and not long after, we made many new friends."
不论,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss",不论你遇到什么困难，我都会一直支持你。,"No matter what difficulties you face, I will always support you."
不然,bù rán,not so; no; or else; otherwise; if not; How about ...?,你得早点出发，不然会赶不上地铁的。,"You'd better leave early, or else you'll miss the subway."
不如,bù rú,not equal to; not as good as; inferior to; it would be better to,这家新开的餐厅菜品不如老地方地道，下次我们还是去以前那家吧。,The food at this newly opened restaurant isn't as authentic as the old place; next time let's just go to our usual spot.
不少,bù shǎo,many; a lot; not few,这本书里有不少实用的生活技巧，对初学者很有帮助。,"This book contains quite a few practical life tips, which are very helpful for beginners."
不同,bù tóng,different; distinct; not the same; not alike,我们两个人的兴趣爱好不同，所以很少一起活动。,"Our hobbies are different, so we rarely do activities together."
不行,bù xíng,won't do; be out of the question; be no good; not work; not be capable,这个办法不行，我们得换个方式试试。,This method won't work; we need to try a different approach.
不幸,bù xìng,misfortune; adversity; unfortunate; sad; unfortunately,不幸的是，他昨天在上班途中遭遇了车祸，目前正在医院接受治疗。,"Unfortunately, he was involved in a car accident on his way to work yesterday and is currently receiving treatment at the hospital."
不许,bù xǔ,not to allow; must not; can't,学校规定学生不许带手机进教室。,Students are not allowed to bring mobile phones into the classroom according to school rules.
不要,bù yào,don't!; must not,过马路时不要看手机。,Don't look at your phone when crossing the street.
不一定,bù yī dìng,not necessarily; maybe,贵的东西不一定好，适合自己的才是最重要的。,Expensive items aren't necessarily better; what suits you is what truly matters.
不用,bù yòng,need not,明天是周末，你不用来上课。,"Tomorrow is the weekend, so you don't need to come to class."
不再,bù zài,no more; no longer,自从搬了新家，她就不再感到孤独了。,"Since moving to a new home, she no longer feels lonely."
不知,bù zhī,"not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc)",他不知自己已经错过了末班车，只好在车站等了一夜。,"He was unaware that he had already missed the last train, so he had to wait at the station all night."
不止,bù zhǐ,incessantly; without end; more than; not limited to,掌握一门外语不止需要背单词，还需要大量的实际交流。,Mastering a foreign language requires not only memorizing vocabulary but also extensive real-life communication.
不准,bù zhǔn,not to allow; to forbid; to prohibit,学校规定学生不准在考试时使用手机。,The school regulations prohibit students from using mobile phones during exams.
