Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
必要,bì yào,necessary,这是必要的。,This is necessary.,"<img src=""necessary.jpg"" />"
毕竟,bì jìng,after all,他毕竟是个孩子。,"After all, he is a child.",
毕业,bì yè,graduation,我明年毕业。,I will graduate next year.,
闭,bì,to close,请闭上眼睛。,Please close your eyes.,"<img src=""close.jpg"" />"
避免,bì miǎn,to avert,避免迟到。,Avoid being late.,
边,biān,side,我们坐这边。,Let's sit on this side.,
编,biān,to weave,妈妈编辫子。,Mom braids her hair.,"<img src=""weave.jpg"" />"
编辑,biān jí,to edit,他是一名编辑。,He is an editor.,"<img src=""edit.jpg"" />"
变,biàn,to change,天气变了。,The weather has changed.,
变成,biàn chéng,to change into,水变成冰了。,Water turned into ice.,
变化,biàn huà,(intransitive) to change; to vary,天气变化很大。,The weather changes a lot.,"<img src=""vary.jpg"" />"
便,biàn,plain,那便好。,Then it's fine.,"<img src=""plain.jpg"" />"
便宜,biàn yí,convenient,这件衣服很便宜。,This shirt is very cheap.,"<img src=""convenient.jpg"" />"
标,biāo,mark,请标上价格。,Please mark the price.,"<img src=""mark.jpg"" />"
标志,biāo zhì,sign; mark; symbol; logo,这是公司的标志。,This is the company's logo.,"<img src=""symbol.jpg"" />"
标准,biāo zhǔn,standard; norm; criterion,你的发音很标准。,Your pronunciation is very standard.,"<img src=""standard.jpg"" />"
表,biǎo,exterior surface,请填这张表。,Please fill out this form.,"<img src=""exterior.jpg"" />"
表达,biǎo dá,to express; to convey,我想表达我的想法。,I want to express my thoughts.,"<img src=""express.jpg"" />"
表面,biǎo miàn,surface,表面很光滑。,The surface is very smooth.,"<img src=""surface.jpg"" />"
表明,biǎo míng,to make clear,事实表明我错了。,Facts show I was wrong.,"<img src=""clear.jpg"" />"
表情,biǎo qíng,(facial) expression,你的表情真可爱！,Your expression is really cute!,
表示,biǎo shì,(of sb) to express; to state; to show,我表示完全同意。,I completely agree.,"<img src=""state.jpg"" />"
表现,biǎo xiàn,to show,他今天表现很好。,He performed well today.,
表演,biǎo yǎn,play,今晚有表演吗？,Is there a performance tonight?,
别的,bié de,else,你想吃别的吗？,Do you want to eat something else?,"<img src=""else.jpg"" />"
别人,bié ren,other people; others; other person,我不像别人。,I am not like others.,"<img src=""people.jpg"" />"
冰,bīng,ice,我想喝冰水。,I want to drink iced water.,
兵,bīng,soldiers,他是当兵的。,He is a soldier.,
饼,bǐng,round flat cake,这饼真好吃。,This cake is really delicious.,"<img src=""flat.jpg"" />"
并,bìng,and,我并不累。,I am not tired at all.,
并非,bìng fēi,really isn't,这并非事实,This isn't really true.,
并且,bìng qiě,and; besides; moreover; furthermore; in addition,我喜欢跑步并且游泳。,I like running and swimming.,"<img src=""furthermore.jpg"" />"
病,bìng,illness,我生病了。,I am sick.,
病毒,bìng dú,virus,电脑有病毒。,The computer has a virus.,
病人,bìng rén,sick person,病人需要休息。,The patient needs rest.,
拨,bō,"to push aside with the hand, foot, a stick etc",我拨个电话。,I'll dial a number.,"<img src=""aside.jpg"" />"
玻璃,bō li,glass,小心玻璃。,Be careful of the glass.,"<img src=""glass.jpg"" />"
播,bō,"(bound form) to sow (seeds); to spread (ideas, rumors etc); to broadcast (radio signals etc)",电视正在播新闻。,The TV is broadcasting the news.,"<img src=""broadcast.jpg"" />"
播放,bō fàng,to broadcast; to transmit (by radio or TV),电视正在播放新闻。,The TV is broadcasting the news.,"<img src=""transmit.jpg"" />"
脖子,bó zi,neck,我脖子疼。,My neck hurts.,
博士,bó shì,doctor (as an academic degree),他是博士。,He has a Ph.D.,"<img src=""academic.jpg"" />"
补,bǔ,to repair,我明天去补课。,I will make up the class tomorrow.,"<img src=""repair.jpg"" />"
补偿,bǔ cháng,to compensate,我会用钱补偿你。,I will compensate you.,"<img src=""compensate.jpg"" />"
不,bù,no; not so,我不去。,I am not going.,
不必,bù bì,need not,你不必来。,You don't have to come.,
不错,bù cuò,correct,你的中文不错。,Your Chinese is pretty good.,
不得不,bù dé bù,have no choice or option but to,我不得不去。,I have to go.,"<img src=""option.jpg"" />"
不断,bù duàn,unceasing,他不断学习中文。,He keeps learning Chinese.,
不对,bù duì,incorrect,你说得不对。,What you said is wrong.,"<img src=""incorrect.jpg"" />"
不够,bù gòu,not enough,钱不够。,Not enough money.,
不管,bù guǎn,not to be concerned,不管多忙，我陪你。,"No matter how busy, I will stay with you.",
不过,bù guò,only,不过今天不行。,But today doesn't work.,
不好意思,bù hǎo yì si,to feel embarrassed,不好意思，打扰了。,Sorry to bother you.,"<img src=""feel.jpg"" />"
不见,bù jiàn,not to see,好久不见！,Long time no see!,"<img src=""see.jpg"" />"
不仅,bù jǐn,not just; not limited to,她不仅会唱，还会跳。,"She can not only sing, but also dance.",
不久,bù jiǔ,not long (after),我不久就回来。,I'll be back soon.,
不论,bù lùn,whatever,不论何时，我都在。,"No matter when, I'm here.",
不然,bù rán,not so,快点走，不然要迟到了。,"Hurry up, or else we'll be late.",
不如,bù rú,not equal to; not as good as; inferior to,下雨不如在家休息。,It would be better to rest at home when it rains.,"<img src=""inferior.jpg"" />"
不少,bù shǎo,many; quite a few; a good number of,今天来了不少人。,Many people came today.,"<img src=""quite.jpg"" />"
不同,bù tóng,different,我们想法不同。,Our ideas are different.,"<img src=""different.jpg"" />"
不行,bù xíng,won't do,这个办法不行。,This method won't work.,
不幸,bù xìng,misfortune,不幸的是，他病了。,"Unfortunately, he is sick.","<img src=""misfortune.jpg"" />"
不许,bù xǔ,not to allow,这里不许拍照。,No photos allowed here.,"<img src=""allow.jpg"" />"
不要,bù yào,don't!; must not,不要说话。,Don't talk.,
不一定,bù yī dìng,not necessarily,明天不一定下雨。,It might not rain tomorrow.,
不用,bù yòng,need not,你不用来了。,You don't need to come.,
不再,bù zài,no more; no longer,我不再抽烟了。,I don't smoke anymore.,
不知,bù zhī,not to know,我不知真假。,I don't know if it's true or false.,
不止,bù zhǐ,incessantly,不止一次了。,More than once.,
不准,bù zhǔn,not to allow,这里不准拍照。,No photos allowed here.,
不足,bù zú,insufficient,时间不足，改天吧。,"Not enough time, let's do it another day.",
部,bù,ministry,我买了一部新手机。,I bought a new phone.,"<img src=""ministry.jpg"" />"
部队,bù duì,army,我爸爸在部队。,My dad is in the army.,"<img src=""army.jpg"" />"
部分,bù fen,part; portion; piece,这部分很简单。,This part is very simple.,"<img src=""portion.jpg"" />"
部门,bù mén,department,你在哪个部门？,Which department are you in?,
部长,bù zhǎng,head of a (government etc) department,部长说没问题。,The minister says no problem.,
擦,cā,to rub; to scratch,请擦桌子。,Please wipe the table.,"<img src=""rub.jpg"" />"
猜,cāi,to guess,你猜对了吗？,Did you guess correctly?,
才,cái,ability; talent,他才五岁。,He is only five years old.,"<img src=""ability.jpg"" />"
才能,cái néng,talent,他很有才能。,He has great talent.,"<img src=""talent.jpg"" />"
材料,cái liào,(raw) material,我需要买些材料。,I need to buy some materials.,"<img src=""material.jpg"" />"
财产,cái chǎn,property,他有很多财产。,He has a lot of property.,
财富,cái fù,wealth,健康就是财富。,Health is wealth.,"<img src=""wealth.jpg"" />"
财务,cái wù,financial affairs; finance,我是财务。,I work in finance.,"<img src=""finance.jpg"" />"
采访,cǎi fǎng,to interview,明天我要采访他。,Tomorrow I will interview him.,
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action)",我们采取了新措施。,We adopted new measures.,"<img src=""course.jpg"" />"
采用,cǎi yòng,to adopt,我们采用新方法。,We use a new method.,
菜,cài,vegetable; greens (CL:棵[ke1]),今天吃什么菜？,What dish should we eat today?,"<img src=""vegetable.jpg"" />"
参观,cān guān,"to visit (a place, e.g. museum or factory); to tour; to look around",我们去参观博物馆。,We will visit the museum.,"<img src=""factory.jpg"" />"
参加,cān jiā,to participate,我想参加。,I want to join.,"<img src=""participate.jpg"" />"
参赛,cān sài,to compete,我想参赛。,I want to compete.,
参与,cān yù,to participate (in sth),你愿意参与吗？,Would you like to participate?,
餐,cān,meal,晚餐吃什么？,What's for dinner?,"<img src=""meal.jpg"" />"
餐厅,cān tīng,dining hall,我们在餐厅吃饭。,We are eating at the restaurant.,
惨,cǎn,miserable,他输得很惨。,He lost badly.,"<img src=""miserable.jpg"" />"
藏,Zàng,Tibetan ethnic group,我想去藏。,I want to go to Tibet.,
操作,cāo zuò,to work,这个机器怎么操作？,How do you operate this machine?,"<img src=""work.jpg"" />"
侧,cè,the side,请往侧边走。,Please walk to the side.,
厕所,cè suǒ,toilet; lavatory,我去一下厕所。,I'm going to the toilet.,
测,cè,to survey,请测一下体温。,Please measure your temperature.,"<img src=""survey.jpg"" />"
测试,cè shì,to test (machinery etc),我们测试一下软件。,Let's test the software.,"<img src=""test.jpg"" />"
策略,cè lu:è,strategy; tactics,你的策略很好。,Your strategy is very good.,"<img src=""strategy.jpg"" />"
策划,cè huà,to plot,谁策划了这次活动？,Who planned this event?,"<img src=""plot.jpg"" />"
层,céng,to pile on top of one another,这栋楼有十层。,This building has ten floors.,"<img src=""pile.jpg"" />"
曾经,céng jīng,once,我曾经去过北京。,I once went to Beijing.,
插,chā,to insert,把花插进花瓶。,Put the flower in the vase.,"<img src=""insert.jpg"" />"
查看,chá kàn,to look over,帮我查看一下。,Please help me check it.,
茶,chá,tea,我喜欢喝茶。,I like drinking tea.,"<img src=""tea.jpg"" />"
差,chā,difference; discrepancy,价格差多少？,How much is the price difference?,"<img src=""difference.jpg"" />"
差不多,chà bu duō,almost,我们差不多到了。,We're almost there.,
拆,chāi,to tear open,我拆快递。,I'm opening a package.,"<img src=""open.jpg"" />"
产,chǎn,to give birth,这里产大米。,This place produces rice.,
产品,chǎn pǐn,goods,这个产品很好。,This product is very good.,"<img src=""goods.jpg"" />"
产生,chǎn shēng,to arise; to come into being; to come about,他产生了兴趣。,He became interested.,"<img src=""arise.jpg"" />"
尝,cháng,to taste; to try (food),你尝过这个吗？,Have you tasted this?,"<img src=""taste.jpg"" />"
尝试,cháng shì,to try ,我想尝试这个菜。,I want to try this dish.,
常常,cháng cháng,frequently; often,我常常去公园。,I often go to the park.,"<img src=""frequently.jpg"" />"
厂,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",这个字有厂字旁。,This character has the cliff radical.,"<img src=""radical.jpg"" />"
场,cháng,threshing floor,看了一场电影。,I watched a movie.,
唱,chàng,to sing,我喜欢唱歌。,I like to sing.,
唱歌,chàng gē,to sing a song,我喜欢唱歌。,I like to sing.,
超,chāo,to exceed,他跑得超快。,He runs super fast.,"<img src=""exceed.jpg"" />"
超过,chāo guò,to surpass,他的成绩超过了我。,His grades exceeded mine.,
超级,chāo jí,super-,这菜超级好吃。,This dish is super delicious.,"<img src=""super.jpg"" />"
朝,Cháo,abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea,我想去朝玩。,I want to visit Korea.,
吵,chǎo,to quarrel,邻居太吵了。,The neighbors are too noisy.,"<img src=""quarrel.jpg"" />"
炒,chǎo,to sauté; to stir-fry,妈妈在炒菜。,Mom is stir-frying vegetables.,"<img src=""stir.jpg"" />"
车辆,chē liàng,vehicle,这里车辆很多。,There are many vehicles here.,
车上,chē shàng,Not found,我在车上等你。,I'm waiting for you in the car.,"<img src=""found.jpg"" />"
扯,chě,to pull,别扯了，我不信。,"Stop talking nonsense, I don't believe it.",
彻底,chè dǐ,thorough,我彻底明白了。,I completely understand now.,"<img src=""thorough.jpg"" />"
沉默,chén mò,taciturn,他突然沉默了。,He suddenly became silent.,
称,chèn,to fit; to match; to suit,这衣服很称你。,This dress fits you well.,"<img src=""match.jpg"" />"
称为,chēng wéi,"to be called; to be known as; to call it ""...""",这里称为市中心。,This area is known as the city center.,"<img src=""known.jpg"" />"
撑,chēng,to support,我撑伞回家。,I'll take an umbrella home.,"<img src=""support.jpg"" />"
成功,Chéng gōng,to succeed,祝你成功。,Wish you success.,"<img src=""succeed.jpg"" />"
成果,chéng guǒ,result,你的成果真不错。,Your results are great.,"<img src=""result.jpg"" />"
成绩,chéng jì,achievement,你的成绩很好。,Your grades are very good.,
成交,chéng jiāo,to complete a contract,没问题，成交。,Deal.,"<img src=""contract.jpg"" />"
成就,chéng jiù,accomplishment,他取得了很大成就。,He achieved great success.,
成立,chéng lì,to establish,公司成立了。,The company was established.,"<img src=""establish.jpg"" />"
成熟,chéng shú,mature; ripe,水果成熟了。,The fruit is ripe.,"<img src=""mature.jpg"" />"
成为,chéng wéi,to become; to turn into,我想成为老师。,I want to become a teacher.,
成员,chéng yuán,member,他是新成员。,He is a new member.,"<img src=""member.jpg"" />"
成长,chéng zhǎng,to mature,我在慢慢成长。,I am slowly growing up.,
呈现,chéng xiàn,to appear,屏幕呈现清晰画面。,The screen shows a clear picture.,"<img src=""appear.jpg"" />"
承担,chéng dān,to undertake,我来承担吧。,I'll handle it.,"<img src=""undertake.jpg"" />"
承诺,chéng nuò,to promise,我承诺会来。,I promise to come.,
承认,chéng rèn,to admit,我承认错了。,I admit I was wrong.,
承受,chéng shòu,to bear,我承受不了压力。,I can't bear the pressure.,
城,chéng,city walls,我喜欢这座城。,I like this city.,"<img src=""city.jpg"" />"
城市,chéng shì,city; town,我喜欢这座城市。,I like this city.,"<img src=""town.jpg"" />"
乘客,chéng kè,passenger,乘客请坐好。,"Passengers, please sit down.","<img src=""passenger.jpg"" />"
程度,chéng dù,degree; level; extent,他的中文程度很好。,His Chinese level is very good.,"<img src=""degree.jpg"" />"
程序,chéng xù,procedures,这个程序很好用。,This program is very easy to use.,
吃,chī,to eat; to consume,我吃饭了。,I ate.,"<img src=""consume.jpg"" />"
吃饭,chī fàn,to have a meal,你吃饭了吗？,Have you eaten?,
迟到,chí dào,to arrive late,我今天迟到了。,I was late today.,"<img src=""arrive.jpg"" />"
持,chí,to hold,请保持联系。,Please keep in touch.,
持续,chí xù,to continue,雨持续下了三天。,The rain continued for three days.,
充分,chōng fèn,ample,时间很充分。,Time is sufficient.,"<img src=""ample.jpg"" />"
充满,chōng mǎn,full of,房间里充满阳光。,The room is full of sunlight.,
冲,chōng,(of water) to dash against,用水冲一下。,Rinse it with water.,"<img src=""against.jpg"" />"
冲动,chōng dòng,to have an urge,他太冲动了。,He is too impulsive.,"<img src=""urge.jpg"" />"
冲突,chōng tū,conflict,我们之间没有冲突。,There is no conflict between us.,"<img src=""conflict.jpg"" />"
抽,chōu,to draw out; to pull out from in between,我去抽血。,I'm going to draw blood.,
臭,chòu,stench,这袜子真臭。,These socks really smell bad.,
出,chū,to go out; to come out,他出门了。,He went out.,
出版,chū bǎn,to publish,我的书出版了。,My book has been published.,"<img src=""publish.jpg"" />"
出发,chū fā,to set off,我们明天出发。,We will set off tomorrow.,"<img src=""set.jpg"" />"
出口,chū kǒu,an exit,出口在哪里？,Where is the exit?,"<img src=""exit.jpg"" />"
出来,chū lái,to come out,他出来了。,He came out.,
出门,chū mén,to go out,我要出门了。,I'm going out now.,
出去,chū qù,to go out,我想出去走走。,I want to go out for a walk.,
出色,chū sè,remarkable; outstanding,你这次做得真出色。,You did remarkably well this time.,
出生,chū shēng,to be born,我出生在北京。,I was born in Beijing.,
出售,chū shòu,to sell,这辆车出售吗？,Is this car for sale?,"<img src=""sell.jpg"" />"
出席,chū xí,to attend,他出席了会议。,He attended the meeting.,"<img src=""attend.jpg"" />"
出现,chū xiàn,to appear,问题又出现了。,The problem appeared again.,
出于,chū yú,due to,出于好奇，他问了个问题。,He asked out of curiosity.,"<img src=""due.jpg"" />"
出租车,chū zū chē,taxi,我们坐出租车吧。,Let's take a taxi.,"<img src=""taxi.jpg"" />"
初,chū,(bound form) at first; initially,起初我不懂。,"At first, I didn't understand.","<img src=""form.jpg"" />"
除,chú,to get rid of,请除去垃圾。,Please remove the trash.,"<img src=""rid.jpg"" />"
除非,chú fēi,"only if (..., or otherwise, ...)",除非你请客，我不去。,I won't go unless you treat me.,"<img src=""otherwise.jpg"" />"
除了,chú le,"apart from; besides; in addition to (used to exclude, as in 除了他，誰也沒來|除了他，谁也没来[chu2 le5 ta1 , shei2 ye3 mei2 lai2] ""apart from him, nobody came"", or to include, as in 除了英語，他也會法語|除了英语，他也会法语[chu2 le5 Ying1 yu3 , ta1 ye3 hui4 Fa3 yu3] ""in addition to English, he also knows French"")",除了他，大家都来了。,"Except for him, everyone came.","<img src=""exclude.jpg"" />"
厨房,chú fáng,kitchen,我在厨房做饭。,I am cooking in the kitchen.,
处,chǔ,to reside,我们处得很好。,We get along well.,
处理,chǔ lǐ,to handle; to deal with,我来处理这件事。,I will handle this matter.,"<img src=""handle.jpg"" />"
处于,chǔ yú,"to be in (some state, position, or condition)",他正处于困难中。,He is in a difficult situation.,"<img src=""condition.jpg"" />"
穿,chuān,to bore through; to pierce; to perforate,我穿这件衣服。,I am wearing this outfit.,"<img src=""pierce.jpg"" />"
穿着,chuān zhuó,attire; clothes; dress,你的穿着真好看。,Your clothes look really nice.,"<img src=""clothes.jpg"" />"
传,chuán,to pass on,请把书传给我。,Please pass the book to me.,
传播,chuán bō,to disseminate; to propagate; to spread,消息传播很快。,News spreads quickly.,"<img src=""disseminate.jpg"" />"
传奇,chuán qí,legendary,他真是个传奇。,He is truly a legend.,
传说,chuán shuō,legend; folk tale,这是一个古老传说。,This is an ancient legend.,"<img src=""legend.jpg"" />"
传统,chuán tǒng,tradition; traditional,这是我们的传统。,This is our tradition.,"<img src=""traditional.jpg"" />"
床,chuáng,bed; couch (furniture that one can lie down on) (CL:張|张[zhang1]),我喜欢这张床。,I like this bed.,"<img src=""furniture.jpg"" />"
创意,chuàng yì,creative,你很有创意。,You are very creative.,
创造,chuàng zào,to create,我们要创造未来。,We want to create the future.,"<img src=""create.jpg"" />"
创作,chuàng zuò,to create; to produce; to write,我喜欢创作音乐。,I like creating music.,"<img src=""produce.jpg"" />"
吹,chuī,to blow,请吹蜡烛。,Please blow out the candles.,"<img src=""blow.jpg"" />"
纯,chún,pure,这是纯牛奶。,This is pure milk.,"<img src=""pure.jpg"" />"
词,cí,old variant of 詞|词[ci2],这个词什么意思？,What does this word mean?,
慈善,cí shàn,benevolent,她喜欢做慈善。,She likes doing charity work.,
辞职,cí zhí,to resign,我要辞职了。,I'm going to resign.,"<img src=""resign.jpg"" />"
此,cǐ,this; these,此书很好。,This book is good.,
此时,cǐ shí,now,此时天气很好。,The weather is nice now.,
此外,cǐ wài,besides; in addition; moreover; furthermore,此外，我还有事。,"Besides, I have something else to do.","<img src=""moreover.jpg"" />"
次,cì,next in sequence,下次再见。,See you next time.,"<img src=""sequence.jpg"" />"
刺,cī,(onom.) whoosh,一阵风刺地刮过。,A gust of wind whooshed past.,
刺激,cì jī,to provoke; to irritate; to upset; to stimulate; to excite,别刺激他。,Don't provoke him.,"<img src=""stimulate.jpg"" />"
聪明,cōng ming,intelligent; clever; bright,这孩子真聪明。,This kid is really smart.,"<img src=""intelligent.jpg"" />"
从此,cóng cǐ,from now on,从此他不再迟到。,"Since then, he is no longer late.",
从来,cóng lái,always,我从来不吃辣。,I never eat spicy food.,"<img src=""always.jpg"" />"
从事,cóng shì,to go for,你从事什么工作？,What do you do for a living?,
从未,cóng wèi,never,我从未去过北京。,I have never been to Beijing.,"<img src=""never.jpg"" />"
村,cūn,village,我们去了那个村。,We went to that village.,"<img src=""village.jpg"" />"
存,cún,to exist,我存了很多钱。,I saved a lot of money.,"<img src=""exist.jpg"" />"
存在,cún zài,to exist,问题确实存在。,The problem really exists.,
