Word,Meaning,Pinyin,Example,Translation
打篮球,chơi bóng rổ,dǎ lánqiú,,
段,đoạn,duàn,两段木头,hai khúc gỗ
闲话,ngồi lê đôi mách,xiánhuà,,
举行,"tổ chức, tiến hành",jǔxíng,举行会谈。,tổ chức hội đàm.
贡献,cống hiến,gòngxiàn,为祖国贡献自己的一切。,cống hiến hết mình cho tổ quốc.
储蓄,"để dành, dành dụm",chúxù,家家有储蓄。,nhà nào cũng có tiền để dành.
奴隶,nô lệ,núlì,,
食品,thức ăn,shípǐn,罐头食品。,thực phẩm đồ hộp.
内科,nội khoa,nèikē,,
向往,hướng về,xiàngwǎng,他向往着故乡。,anh ấy hướng về quê hương
虚伪,"không thật, giả dối",xūwèi,太虚伪,giả dối quá
耐心,"nhẫn nại, kiên trì",nàixīn,耐心说服。,kiên nhẫn thuyết phục.
分泌,"bài tiết, tiết ra",fēnmì,,
荣幸,vinh hạnh,róngxìng,我们能见到您，感到十分荣幸。,"chúng tôi gặp được ngài, cảm thấy rất vinh dự."
航天,hàng không vũ trụ,hángtiān,航天技术,kỹ thuật hàng không
损坏,tổn thất,sǔnhuài,糖吃多了，容易损坏牙齿。,ăn nhiều đường quá sẽ làm hư răng.
等级,"cấp bậc, đẳng cấp",děngjí,按商品等级规定价格。,theo cấp hàng hoá mà qui định giá cả.
音响,âm thanh,yīnxiǎng,剧场音响条件很好。,điều kiện âm thanh của rạp hát rất tốt.
职业,nghề nghiệp,zhíyè,职业剧团,đoàn kịch chuyên nghiệp
剪彩,cắt băng khánh thành,jiǎncǎi,,
忠诚,trung thành,zhōngchéng,忠诚老实,trung thành chân thật; trung thành thật thà
推迟,hoãn lại,tuīchí,推迟婚期,hoãn ngày cưới
恭敬,tôn kính,gōngjìng,,
往常,"mọi khi, thường ngày",wǎngcháng,今天因为有事，所以比往常回来得晚。,hôm nay vì có việc nên về muộn hơn mọi khi
刹那,"chốc lát, chớp mắt",chànà,一刹那。,trong nháy mắt.
多元化,đa dạng hóa,duōyuán huà,,
喜悦,sự vui mừng,xǐyuè,喜悦的心情。,vui sướng trong lòng; niềm vui.
迫切,"bức thiết, cấp bách",pòqiè,工人们迫切要求提高文化和技术水平。,công nhân đòi hỏi cấp bách phải được nâng cao trình độ văn hoá và kỹ thuật.
圈,vòng tròn,quān,别让暑气圈在心里。,đừng để cho sự nóng giận tồn lại trong lòng.
无赖,"tên vô lại, kẻ du côn",wúlài,耍无赖。,dở trò nanh nọc.
热泪盈眶,nước mắt lưng tròng,rèlèi yíng kuàng,,
品尝,"nếm, thử",pǐncháng,,
导向,hướng dẫn,dǎoxiàng,会谈导向两国关系的正常化。,hướng phát triển của hội đàm là bình thường hoá quan hệ hai nước.
计算,tính toán,jìsuàn,计算人数。,tính toán số người.
并存,cùng tồn tại,bìngcún,,
依然,"như cũ, như xưa, y nguyên",yīrán,依然如故,vẫn như xưa; vẫn như ngày nào.
叼,"ngậm, tha",diāo,嘴里叼着烟券卷。,miệng ngậm điếu thuốc.
手表,đồng hồ đeo tay,shǒubiǎo,,
建筑,tòa nhà,jiànzhú,建筑桥梁。,xây cầu.
浇,"tưới, dội, đổ",jiāo,浇水。,tưới nước.
飘,"tung bay, lung lay",piāo,飘摇。,lung lay.
学校,trường học,xuéxiào,,
零钱,tiề lẻ,língqián,我不抽烟， 也不渴酒， 一个月花不了多少零钱。,"tôi không hút thuốc, cũng không uống rượu, một tháng tiền tiêu vặt xài chẳng đáng là bao."
急忙,vội vàng,jímáng,听说厂里有要紧事儿，他急忙穿上衣服跑出门去。,"nghe nói trong nhà máy có chuyện khẩn, anh ấy vội vàng mặc quần áo chạy ra khỏi cửa."
出口,lối ra,chūkǒu,出口伤人。,mở miệng ra là xúc phạm đến người khác.
呈现,"lộ ra, phơi bày",chéngxiàn,暴风雨过去，大海又呈现出碧蓝的颜色。,"giông bão qua đi, đại dương lại hiện lên một màu xanh biếc."
否认,phủ nhận,fǒurèn,矢口否认,thề thốt phủ nhận
宣传,tuyên truyền,xuānchuán,宣传队,đội tuyên truyền
野心,dã tâm,yěxīn,野心家,kẻ dã tâm
投降,đầu hàng,tóuxiáng,,
新鲜,tươi,xīnxiān,新鲜的水果。,hoa quả tươi
集团,tập đoàn,jítuán,,
作为,"là, làm với tư cách",zuòwéi,评论一个人，不但要根据他的谈吐，而且更需要根据他的作为。,"bình luận một người, không những phải căn cứ vào lời nói của họ, mà còn phải căn cứ vào hành động của họ."
赞成,"tán thành, đồng ý",zànchéng,赞成这项提议的请举手。,những ai đồng ý với đề nghị này xin giơ tay.
家喻户晓,nhà nhà đều biết,jiāyùhùxiǎo,,
衷心,chân thành,zhōngxīn,衷心拥护,chân thành ủng hộ
月,tháng,yuè,月 食,nguyệt thực
词汇,từ vựng,cíhuì,,
继续,tiếp tục,jìxù,继续不停。,tiếp tục không ngừng.
耐用,bền,nàiyòng,搪瓷器具比玻璃器具经久耐用。,đồ sắt tráng men dùng bền hơn đồ thuỷ tinh.
开,mở,kāi,开锁。,mở khoá.
商品,hàng hóa,shāngpǐn,,
露,sương,lù,露天。,ngoài trời.
协调,phối hợp,xiétiáo,国民经济各部门的发展必须互相协调。,việc phát triển các ngành kinh tế quốc dân phải phối hợp nhịp nhàng.
长江,Trường Giang,chángjiāng,,
诞生,"ra đời, sinh ra",dànshēng,1949年10月1日，中华人民共和国诞生了。,ngày 1 tháng 10 năm 1949 là ngày ra đời của nước cộng hoà nhân dân Trung Quốc.
缺口,chỗ hổng,quēkǒu,围墙上有个缺口。,trên tường có một chỗ hở.
无知,dốt nát,wúzhī,,
开展,"triển khai, mở rộng",kāizhǎn,开展批评与自我批评。,triển khai phê bình và tự phê bình.
空白,"trỗ chống, lỗ hổng",kòngbái,版面上还有块空白，可以补一篇短文。,"trên bản in còn có một chỗ trống, có thể thêm một đoạn văn."
郊区,ngoại ô,jiāoqū,,
剧本,kịch bản,jùběn,,
首都,thủ đô,shǒudū,,
招投标,đấu thầu,zhāo tóubiāo,,
经费,"kinh phí, tiền chi tiêu",jīngfèi,,
崇拜,"tôn sùng, sùng bái",chóngbài,,
句子,câu văn,jùzi,,
外,bên ngoài,wài,出外,"đi vắng, đi khỏi; xuất ngoại"
尽力,cô gắng,jìnlì,尽力而为。,làm hết sức.
理发,"hớt tóc, cắt tóc",lǐfǎ,理发员。,thợ cắt tóc.
合理,hợp lý,hélǐ,合理使用,sử dụng hợp lý
有趣,thú vị,yǒuqù,有趣的故事,câu chuyện thú vị
欢迎,"hoan nghênh, chào mừng",huānyíng,欢迎大会,chào mừng đại hội
作废,"xóa bỏ, mất hiệu quả",zuòfèi,过期作废,quá hạn không còn giá trị
匹,"con (ngựa, la..)cuộn, xếp(lụa, vải)",pǐ,匹配。,tương xứng.
态度,thái độ,tàidù,态度大方,thái độ lịch sự
当,"khi, vào lúc",dāng,相当,tương đương; ngang nhau
接触,tiếp xúc,jiēchù,皮肤和物体接触后产生的感觉就是触觉。,cảm giác nảy sinh sau khi da tiếp xúc với vật thể là xúc giác.
家,nhà,jiā,他家有五口人。,gia đình anh ấy có năm người.
新娘,cô dâu,xīnniáng,,
委屈,"oan ức, tủi thân",wěiqu,他辛苦了半天还受埋怨，觉着很委屈。,"nó đã vất vả cả ngày mà còn bị trách móc, cảm thấy rất tủi thân."
海关,hải quan,hǎiguān,,
满,đầy,mǎn,会场里人都满了。,trên hội trường đã đầy người.
喜闻乐见,"thích nghe ngóng, thích quan sát",xǐwénlèjiàn,,
危害,nguy hại,wéihài,危害生命,nguy hại đến tính mạng
舍不得,"luyến tiếc, không nỡ",shěbude,连长舍不得自己的部队，才休养几天就赶回去了。,"đại đội trưởng không nỡ rời đơn vị của mình, mới an dưỡng mấy ngày đã trở về đơn vị."
解剖,mổ xẻ,jiěpōu,,
汤,canh,tāng,温汤浸种,ngâm giống trong nước nóng.
照应,"phối hợp, ăn khớp",zhàoyìng,互相照应,phối hợp với nhau
军队,quân đội,jūnduì,,
范围,phạm vi,fànwéi,地区范围,phạm vi khu vực
恋爱,yêu,liàn'ài,自由恋爱。,tự do yêu đương.
榜样,tấm gương,bǎngyàng,榜样的力量是无穷的。,"những tấm gương người tốt, việc tốt nhiều vô cùng."
值得,"đáng, nên",zhídé,这东西买得值得。,đồ này nên mua.
另外,"khác, ngoài ra",lìngwài,我还要跟你谈另外一件事情。,tôi còn phải nói thêm với anh một chuyện khác.
手术,phẫu thuật,shǒushù,大手术。,đại phẫu.
弹钢琴,chơi piano,dàn gāngqín,,
个,"cái, con",gè,三个苹果,ba quả táo; ba trái táo
不安,"bất an, lo lắng",bù'ān,忐忑不安,nhấp nhỏm; bồn chồn; thắp thỏm không yên
达成,"đạt đến, đạt được",dáchéng,达成协议,đạt được hiệp nghị; đạt được sự thoả hiệp.
兴奋,"hăng hái, phấn khởi",xīngfèn,兴奋剂。,thuốc kích thích.
报复,trả thù,bàofù,,
组,"nhóm, tổ",zǔ,改组,cải tổ
触犯,"xúc phạm, xâm phạm",chùfàn,不能触犯人民的利益。,không thể xâm phạm vào lợi ích của nhân dân.
兴隆,"hưng thịnh, thịnh vượng",xīnglóng,生意兴隆。,buôn bán phát đạt; cửa hàng đắt khách.
或者,hoặc,huòzhě,你快走，或者还赶得上车。,"anh đi nhanh lên, có lẽ kịp chuyến xe đấy."
黄瓜,dưa chuột,huángguā,,
自愿,tự nguyện,zìyuàn,自觉自愿,tự nguyện tự giác
游戏,trò chơi,yóuxì,几个孩子正在大树底下游戏。,mấy em bé đang chơi đùa dưới bóng cây to.
低,thấp,dī,低空,tầng trời thấp
途径,đường,tújìng,寻找解决问题的途径,tìm con đường giải quyết vấn đề.
这,điều này,zhè,这本杂志。,cuốn tạp chí này.
前景,"tương lai, triển vọng",qiánjǐng,秋季大丰收的前景鼓舞着社员们的生产情绪。,triển vọng bội thu của vụ thu cổ vũ tinh thần sản xuất của các xã viên.
压榨,"ép, bóc lột",yāzhà,用甘蔗制糖，一般分压榨和煎熬两个步骤。,"dùng mía làm đường, nói chung chia làm hai bước ép mía và nấu mật"
疼,đau,téng,头疼,đau đầu; nhức đầu
涉及,liên quan đến,shèjí,,
锻炼,tập thể dục,duànliàn,体育锻炼,tập thể dục
电池,ắc quy,diànchí,,
并且,"và, đồng thời",bìngqiě,热烈讨论并且通过了这个生产计划。,đã thảo luận sôi nổi đồng thời thông qua kế hoạch sản xuất này
痛快,"vui sướng, vui vẻ",tòngkuài,看见场上一堆一堆的麦子，心里真痛快。,"nhìn thấy từng đống lúa mạch, trong lòng thật vui sướng."
学说,học thuyết,xuéshuō,,
举,"nâng, nhấc, giơ",jǔ,举重。,cử tạ.
压抑,"kiềm chế, kiềm nén",yāyì,压抑激动的感情。,kiềm chế xúc động mạnh.
信任,tín nhiệm,xìnrèn,,
污染,ô nhiễm,wūrǎn,污染水源,làm ô nhiễm nguồn nước; nhiễm bẩn nguồn nước
微不足道,không có ý nghĩa,wēibùzúdào,,
动力,động lực,dònglì,人民是创造世界历史的动力。,nhân dân là động lực sáng tạo ra lịch sử thế giới.
语气,ngữ khí,yǔqì,听他的语气，这事大概有点不妙。,"nghe giọng nói của anh ta, hình như việc này có chút không hay rồi."
充满,tràn đầy,chōngmǎn,欢呼声充满了会场。,tiếng hoan hô vang dậy phòng họp.
神仙,thần tiên,shénxiān,,
勾结,"câu kết, thông đồng",gōujié,暗中勾结,ngấm ngầm cấu kết với nhau
感激,"cảm kích, biết ơn",gǎnjī,感激涕零,cảm kích đến rơi nước mắt
牺牲,hy sinh,xīshēng,流血牺牲,đổ máu hi sinh
否则,nếu không thì,fǒuzé,首先必须把场地清理好，否则无法施工。,"trước tiên phải dọn sạch mặt bằng, nếu không thì không có cách gì thi công được."
跨,"bước dài, xoải bước",kuà,跨进大门。,bước vào cửa.
创新,"cách tân, đổi mới",chuàngxīn,耍有创新精神。,cần phải có tinh thần sáng tạo cái mới.
看见,"nhìn thấy, thấy",kànjiàn,看得见。,trông thấy.
著名,"nổi tiếng, nổi danh",zhùmíng,李时珍是明代的著名药物学家。,Lý Thời Trân là thầy thuốc nổi tiếng thời Minh.
舒畅,"khoan khoái, dễ chịu",shūchàng,性情舒畅。,tính tình dễ chịu.
起床,thức dậy,qǐchuáng,他每天总是天刚亮就起床。,anh ấy mỗi ngày đều thức dậy từ lúc sáng sớm.
级别,trình độ,jíbié,,
鸟,chim,niǎo,,
西,hướng tây,xī,西 面,phía tây; mặt tây; hướng tây.
谣言,"tin vịt, tin nhảm",yáoyán,,
障碍,chướng ngại,zhàng'ài,障碍物,chướng ngại vật
叉子,dĩa,chāzi,,
典型,"điển hình, nghi lễ",diǎnxíng,用典型示范的方法推广先进经验。,dùng phương pháp điển hình để mở rộng kinh nghiệm tiên tiến.
押金,tiền đặt cọc,yājīn,,
公寓,căn hộ,gōngyù,,
感染,"lây, bị nhiễm",gǎnrǎn,身体不好，容易感染流行性感冒。,"sức khoẻ kém, dễ bị nhiễm dịch cảm cúm"
只好,"buộc lòng phải, đành phải",zhǐhǎo,我等了半天他还没回来，只好留个条子就走了。,"tôi chờ một lúc lâu mà anh ấy vẫn chưa trở về, đành phải để lại mảnh giấy."
尝试,thử,chángshì,他们为了解决这个问题，尝试过各种办法,bọn họ vì muốn giải quyết vấn đề mà đã thử đủ cách.
钓,câu cá,diào,钓鱼,câu cá
探测,thăm dò,tàncè,高空探测,thám trắc trên không
接,"nối tiếp, tiếp cận",jiē,邻接。,láng giềng.
罚款,phạt tiền,fákuǎn,,
自行车,xe đạp,zìxíngchē,,
表态,baày tỏ thái độ,biǎotài,明确表态,tỏ thái độ rõ ràng
寂静,"vắng vẻ, trống trải",jìjìng,寂静无声。,yên tĩnh không một tiếng động; lặng thinh; im bặt.
数码,kỹ thuật số,shùmǎ,这次进货的数码比以前大得多。,số hàng nhập vào lần này nhiều hơn lần trước.
结账,thanh toán,jiézhàng,,
媒介,môi giới,méijiè,苍蝇是传染疾病的媒介。,ruồi là môi giới truyền bệnh truyền nhiễm.
属于,thuộc về,shǔyú,中华人民共和国的武装力量属于人民。,lực lượng vũ trang của nước cộng hoà nhân dân Trung Hoa thuộc về nhân dân.
纪要,"kỷ yếu, tóm tắt",jìyào,新闻纪要。,tin tóm tắt.
肺,phổi,fèi,,
昏迷,"hôn mê, mê man",hūnmí,,
喝,uống,hē,喝水,uống nước
英明,khôn ngoan,yīngmíng,英明果断,sáng suốt quả đoán.
卓越,"nổi bật, trác việt, lỗi lạc",zhuóyuè,卓越的成就,thành tựu lớn lao.
连同,"tính cả, gộp lại, kể cả",liántóng,货物连同清单一并送去。,hàng hoá và kể cả hoá đơn cùng gởi đi cả rồi.
没,không,méi,没票。,không có vé.
挪,di chuyển,nuó,挪用。,dùng vào việc khác.
摧残,"phá hủy, tàn phá",cuīcán,,
没辙,"bết tắc, chịu",méizhé,,
目标,mục tiêu,mùbiāo,看清目标。,nhìn rõ mục tiêu.
俱乐部,câu lạc bộ,jù lè bù,,
延伸,mở rộng,yánshēn,这条铁路一直延伸到国境线。,tuyến đường sắt này kéo dài tới biên giới
熏陶,hun đúc (phẩm hạnh tốt),xūntáo,他从小就深受军事世家的影响熏陶,từ nhỏ ông được hun đúc bởi ảnh hưởng lớn của các nhà quân sự nổi tiếng
出租车,taxi,chūzū chē,,
尺子,thước đo,chǐzi,,
看望,"vấn an, hỏi thăm sức khỏe",kànwàng,看望父母。,thăm hỏi sức khoẻ của cha mẹ.
流露,"bộc lộ, thổ lộ",liúlù,流露出真情。,bộc lộ tấm chân tình.
金属,kim khí,jīnshǔ,,
缠绕,"quấn, quấn quanh",chánrào,电磁铁的上面缠绕着导线。,trên thanh nam châm điện có quấn dây dẫn.
快,nhanh,kuài,他进步很快。,anh ấy tiến bộ rất nhanh.
公开,công khai,gōngkāi,公开活动,hoạt động công khai
搭,"mắc, vắt, đắp, phủ, khoắc",dā,搭桥,bắc cầu
喉咙,cổ họng,hóulóng,,
阻碍,cản trở,zǔ'ài,阻碍交通,cản trở giao thông
联合,liên hiệp,liánhé,全世界无产者，联合起来!,"những người vô sản trên toàn thế giới, hãy đoàn kết lại!"
摆脱,thoát khỏi,bǎituō,摆脱困境,thoát khỏi tình huống khó khăn
服务员,nhân viên phục vụ,fúwùyuán,,
吗,phải không,ma,干吗?,làm cái gì?
果汁,nước ép,guǒzhī,,
分寸,"đúng mực, có chừng mực",fēncùn,有分寸,có chừng mực
循环,tuần hoàn,xúnhuán,血液循环,sự tuần hoàn của máu
晴,trời quang,qíng,晴天。,trời quang.
推,đẩy,tuī,推车,đẩy xe
朝,"ngoảnh mặt về, hướng về",cháo,上朝 。,thượng triều.
官,"cán bộ, công chức, sỹ quan",guān,官员,viên chức
表情,"nét mặt, vẻ mặt",biǎoqíng,这个演员善于表情。,diễn viên này khéo diễn xuất
十足,đầy đủ,shízú,十足的黄金。,vàng ròng; vàng mười.
溜,trượt,liū,溜冰。,trượt băng.
勇气,"lòng can đảm, dũng khí",yǒngqì,鼓起勇气,tăng thêm dũng khí
寄,gửi,jì,寄信。,gửi thư.
执行,chấp hành,zhíxíng,严格执行,nghiêm chỉnh chấp hành.
解释,giải thích,jiěshì,有了马克思主义以后，人类社会现象才得到科学的解释。,sau khi có chủ nghĩa Các-Mác thì các hiện tượng trong xã hội loài người mới được giải thích một cách khoa học.
和谐,"hài hòa, dịu dàng",héxié,音调和谐,âm điệu êm dịu
急躁,"luống cuống, hấp tấp, nôn nóng",jízào,一听说事情弄糟了，他就急躁起来了。,"vừa nghe nói công việc thất bại, anh ấy cuống cả lên."
懒,lười biếng,lǎn,腿懒。,lười không muốn giở chân.
衬衫,áo sơ mi,chènshān,,
晚上,buổi tối,wǎnshàng,,
进展,"tiến triển, phát triển",jìnzhǎn,进展神速。,phát triển nhanh chóng.
…分之…,…%...,…fēn zhī…,,
陆地,"lục địa, đất liền",lùdì,,
表决,"biểu quyết, bầu",biǎojué,付表决。,đưa ra biểu quyết
后顾之忧,nỗi lo về sau,hòugùzhīyōu,孩子入托了，解除了家长上班的后顾之忧。,"con đi gởi rồi, trút được nỗi lo đi làm của người lớn."
由于,bởi vì,yóuyú,由于老师傅的耐心教导，他很快就掌握了这一门技术。,"do sự chịu khó dạy dỗ của bác thợ già, anh ấy đã nhanh chóng nắm được kỹ thuật này."
破例,"phá lệ, ngoại lệ",pòlì,制度要严格遵守，不能破例。,"nghiêm túc tuân thủ theo chế độ, không được phá lệ cũ."
设置,thiết lập,shèzhì,这座剧院是为儿童设置的。,nhà hát này xây dựng cho nhi đồng.
快活,"vui sướng, sung sướng",kuàihuó,提前完成了任务，心里觉得很快活。,"hoàn thành nhiệm vụ trước thời hạn, trong lòng cảm thấy sung sướng."
长辈,"đàn anh, trưởng bối",zhǎngbèi,,
发育,"trưởng thành, dậy thì",fāyù,,
职能,"chức năng, công năng",zhínéng,货币的职能,chức năng của tiền tệ.
贝壳,"vỏ sò, vỏ ốc",bèiké,,
涂抹,"bôi lên, tô, quét lên",túmǒ,木桩子上涂抹了沥青。,quét hắc ín lên cộc gỗ.
气魄,"khí thế, quang cảnh",qìpò,他办事很有气魄。,anh ấy làm việc rất hăng say.
碗,bát,wǎn,,
雾,sương mù,wù,喷雾器。,máy phun nước; bình phun nước (dạng sương mù).
打扮,ăn diện,dǎbàn,参加国庆游园，得打扮得漂亮点儿。,"đi dạo công viên vào ngày quốc khánh, phải trang điểm cho đẹp một tý chứ."
部分,bộ phận,bùfèn,,
必定,"nhất định, chắc chắn",bìdìng,共产主义必定胜利。,chủ nghĩa cộng sản nhất định thắng lợi
亏待,"xử tệ, đối đãi kém",kuīdài,你放心吧，我定不会亏待他。,"bạn yên tâm, tôi không xử tệ với anh ấy đâu."
专科,"chuyên khoa, chuyên ngành",zhuānkē,专科医生,bác sĩ chuyên khoa; thầy thuốc chuyên khoa
迄今为止,cho đến nay,qìjīn wéizhǐ,,
警惕,cảnh giác,jǐngtì,提高警惕，保卫祖国。,"đề cao cảnh giác, bảo vệ tổ quốc."
裁员,"giảm biên chế, cắt giảm nhân viên",cáiyuán,,
遭殃,"bị tai ương, gặp tai ương",zāoyāng,,
挡,"ngăn chặn, ngăn cản",dǎng,拦挡,chặn lại; ngăn lại
众所周知,ai ai cũng biết,zhòngsuǒzhōuzhī,,
吻,hôn,wěn,接吻,hôn môi; hôn nhau
免得,"để tránh, đỡ phải",miǎnde,多问几句，免得走错路。,hỏi vài câu để đỡ phải lạc đường.
优惠,ưu đãi,yōuhuì,优惠条件,điều kiện ưu đãi
谜语,câu đố,mèiyǔ,猜谜语,đoán câu đố
缩小,thu hẹp,suōxiǎo,缩小范围。,thu nhỏ phạm vi.
补救,"bổ cứu, cứu vãn",bǔjiù,,
好像,dường như,hǎoxiàng,他们俩一见面就好像是多年的老朋友。,hai chúng nó vừa gặp nhau đã như bạn cũ lâu ngày
城市,thành phố,chéngshì,,
导游,hướng dẫn viên du lịch,dǎoyóu,《西湖导游》,"""hướng dẫn du lịch Tây Hồ"""
见解,"kiến giải, cách nhìn",jiànjiě,见解正确。,kiến giải chính xác.
本钱,vốn,běnqián,,
杂志,tạp chí,zázhì,报章杂志,báo chí tạp chí
宣布,"tuyên bố, thông báo",xuānbù,当众宣布,tuyên bố trước mọi người.
杠杆,đòn bẩy,gànggǎn,经济杠杆,cán cân kinh tế
猛烈,dữ dội,měngliè,进行猛烈的斗争。,tiến hành một cuộc đấu tranh mạnh mẽ.
热心,"nhiệt tình, sốt sắng",rèxīn,热心给大家办事。,nhiệt tình làm việc vì mọi người.
国庆节,ngày quốc khánh,guóqìng jié,,
出路,"đường ra, lối ra",chūlù,在大森林里迷失方向，很难找到出路。,giữa chốn rừng sâu mà lạc mất phương hướng thì khó tìm được đường ra.
擅自,"tự ý, tự tiện",shànzì,不得擅自改变安全操作规程。,không được tự tiện sửa đổi qui trình thao tác an toàn.
专程,chuyến đi đặc biệt,zhuānchéng,专程看望,đặc biệt đi thăm
度过,"xuyên qua, trải qua",dùguò,在海滩上度过了夏天。,trải qua mùa hè ở biển
篇,"bài, trang, tờ",piān,篇章段落。,bố cục bài văn.
整齐,"traật tự, chỉnh tề, ngăn nắp",zhěngqí,服装整齐,trang phục chỉnh tề; ăn mặc chỉnh tề.
规格,"quy cách, kiểu mẫu",guīgé,产品合乎规格,sản phẩm hợp quy cách.
广播,"phát thanh, truyền hình, quảng bá",guǎngbò,广播电台,đài phát thanh
款待,"khoản đãi, chiêu đãi",kuǎndài,款待客人。,khoản đãi khách.
就业,"có công ăn việc làm, đi làm",jiùyè,,
爬山,leo núi,páshān,,
勺子,cái thìa,sháozi,,
街道,đường phố,jiēdào,街道工作。,công tác đường phố.
